POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587676127686176770,,,@awwmishaaa Yep we worry too much and for nothing 🥲,Caption,NA,,,,,,
P:1587676127686176770,,,@awwmishaaa Yep we worry too much and for nothing 🥲,Additional Comment,NA,,,,,,
P:1587676127686176770,,,@awwmishaaa I couldn’t agree more with u. They don’t care a bit about a lot of unimportant things which we worry  about. Failing a course is definitely not a great  achievement but somehow they make up for it in the end.,Additional Comment,NA,,,,,,
P:1587676127686176770,,,"@awwmishaaa @ashwani_kumar_4 No, it's like Iconic dialogue of 3 Idiots ""All is well"" And we try to keep finding the solution of those 1000 problems at which we have been stucked.",Additional Comment,NA,,,,,,
P:1587676127686176770,,,@ashwani_kumar_4 @awwmishaaa yupppp bhaiyaa.uss time we are like ki kl ki jagah rishabh ko chance milta na toh india zyada run bnati😂😂,Additional Comment,NA,,,,,,
P:1587676127686176770,,,"@awwmishaaa we are very simple na ""JO HOGA DEKHA JAYEGA""😂😂😂",Additional Comment,NA,,,,,,
P:1587676127686176770,,,"@awwmishaaa I have seen more careless girls than boys. Seen boys who cry about their grades and girls who don't even care about grades,but it is not a gender thing, it depends on person to person like I became careless in 11th 12th. I used to laugh from outside par andar se gaand fat ti thi",Additional Comment,NA,,,,,,
P:1587676127686176770,,,@awwmishaaa https://t.co/Fki5b1JoXD,Additional Comment,NA,,,,,,
P:1587676127686176770,,,@awwmishaaa May be guys around you are privileged.,Additional Comment,NA,,,,,,
P:1587676127686176770,,,"@ashwani_kumar_4 @awwmishaaa Yaa, I also feel deal with your problem as your own",Additional Comment,NA,,,,,,
P:1587676127686176770,,,@awwmishaaa 😅💯,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@AnishDe10 @awwmishaaa MSFT protector they already laid off 1000s,Caption,NA,,,,,,
P:1587675130511360000,,,@AnishDe10 @awwmishaaa MSFT protector they already laid off 1000s,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@ThisisVanshika @awwmishaaa I hope nothing changes to much at this front,Additional Comment,NA,,,,,,
P:1587675130511360000,,,"@awwmishaaa It's Byju's layoff more than Twitter and Microsoft. 
But it's not scary, it's their future plan to be bankrupt.",Additional Comment,NA,,,,,,
P:1587675130511360000,,,@ThisisVanshika Exactly 💯,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@ThisisVanshika @awwmishaaa I too want to chill.. 😌😌,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@awwmishaaa People who choose Remote Work/Jobs over MAANG chilling rn🙂,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@awwmishaaa 🙂🙂🙂🙂,Additional Comment,NA,,,,,,
P:1587675130511360000,,,"@awwmishaaa Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587675130511360000,,,@itz_ishubham @awwmishaaa Are u in Microsoft?,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@SnehaPandee @awwmishaaa Will you take care of me :),Additional Comment,NA,,,,,,
P:1587674699290628097,,,@ThisisVanshika @awwmishaaa I hope nothing changes to much at this front,Caption,NA,,,,,,
P:1587674699290628097,,,@AnishDe10 @awwmishaaa MSFT protector they already laid off 1000s,Additional Comment,NA,,,,,,
P:1587674699290628097,,,@ThisisVanshika @awwmishaaa I hope nothing changes to much at this front,Additional Comment,NA,,,,,,
P:1587674699290628097,,,"@awwmishaaa It's Byju's layoff more than Twitter and Microsoft. 
But it's not scary, it's their future plan to be bankrupt.",Additional Comment,NA,,,,,,
P:1587674699290628097,,,@ThisisVanshika Exactly 💯,Additional Comment,NA,,,,,,
P:1587674699290628097,,,@ThisisVanshika @awwmishaaa I too want to chill.. 😌😌,Additional Comment,NA,,,,,,
P:1587674699290628097,,,@awwmishaaa People who choose Remote Work/Jobs over MAANG chilling rn🙂,Additional Comment,NA,,,,,,
P:1587674699290628097,,,@awwmishaaa 🙂🙂🙂🙂,Additional Comment,NA,,,,,,
P:1587674699290628097,,,"@awwmishaaa Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587674699290628097,,,@itz_ishubham @awwmishaaa Are u in Microsoft?,Additional Comment,NA,,,,,,
P:1587674699290628097,,,@SnehaPandee @awwmishaaa Will you take care of me :),Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa What is Parents doing in campus?????,Caption,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa What is Parents doing in campus?????,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@aaishika Definitely must've,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa Be a good senior yaar 🤦🤦,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa @chinta_n_vibes Sad life noises 😕,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@pritishposwal @chinta_n_vibes Par zindagi sooni ho to chahal pahal kya karegi :(,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa Someone probably said that about you too when you were a fresher. 👀,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa Mote logo ke kar overcrowd hogya hai.,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@chinta_n_vibes @awwmishaaa Achha sabki apni choice mujhe to chahal pahal pasand hai. Empty campus achha nhi lagta,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa kaun sa college hain aapka,Additional Comment,NA,,,,,,
P:1587671980580671488,,,@awwmishaaa College felt so lively,Additional Comment,NA,,,,,,
P:1587668363433517056,,,"@awwmishaaa It's Byju's layoff more than Twitter and Microsoft. 
But it's not scary, it's their future plan to be bankrupt.",Caption,NA,,,,,,
P:1587668363433517056,,,@AnishDe10 @awwmishaaa MSFT protector they already laid off 1000s,Additional Comment,NA,,,,,,
P:1587668363433517056,,,@ThisisVanshika @awwmishaaa I hope nothing changes to much at this front,Additional Comment,NA,,,,,,
P:1587668363433517056,,,"@awwmishaaa It's Byju's layoff more than Twitter and Microsoft. 
But it's not scary, it's their future plan to be bankrupt.",Additional Comment,NA,,,,,,
P:1587668363433517056,,,@ThisisVanshika Exactly 💯,Additional Comment,NA,,,,,,
P:1587668363433517056,,,@ThisisVanshika @awwmishaaa I too want to chill.. 😌😌,Additional Comment,NA,,,,,,
P:1587668363433517056,,,@awwmishaaa People who choose Remote Work/Jobs over MAANG chilling rn🙂,Additional Comment,NA,,,,,,
P:1587668363433517056,,,@awwmishaaa 🙂🙂🙂🙂,Additional Comment,NA,,,,,,
P:1587668363433517056,,,"@awwmishaaa Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587668363433517056,,,@itz_ishubham @awwmishaaa Are u in Microsoft?,Additional Comment,NA,,,,,,
P:1587668363433517056,,,@SnehaPandee @awwmishaaa Will you take care of me :),Additional Comment,NA,,,,,,
P:1587663007701614592,,,@awwmishaaa I couldn’t agree more with u. They don’t care a bit about a lot of unimportant things which we worry  about. Failing a course is definitely not a great  achievement but somehow they make up for it in the end.,Caption,NA,,,,,,
P:1587663007701614592,,,@awwmishaaa Yep we worry too much and for nothing 🥲,Additional Comment,NA,,,,,,
P:1587663007701614592,,,@awwmishaaa I couldn’t agree more with u. They don’t care a bit about a lot of unimportant things which we worry  about. Failing a course is definitely not a great  achievement but somehow they make up for it in the end.,Additional Comment,NA,,,,,,
P:1587663007701614592,,,"@awwmishaaa @ashwani_kumar_4 No, it's like Iconic dialogue of 3 Idiots ""All is well"" And we try to keep finding the solution of those 1000 problems at which we have been stucked.",Additional Comment,NA,,,,,,
P:1587663007701614592,,,@ashwani_kumar_4 @awwmishaaa yupppp bhaiyaa.uss time we are like ki kl ki jagah rishabh ko chance milta na toh india zyada run bnati😂😂,Additional Comment,NA,,,,,,
P:1587663007701614592,,,"@awwmishaaa we are very simple na ""JO HOGA DEKHA JAYEGA""😂😂😂",Additional Comment,NA,,,,,,
P:1587663007701614592,,,"@awwmishaaa I have seen more careless girls than boys. Seen boys who cry about their grades and girls who don't even care about grades,but it is not a gender thing, it depends on person to person like I became careless in 11th 12th. I used to laugh from outside par andar se gaand fat ti thi",Additional Comment,NA,,,,,,
P:1587663007701614592,,,@awwmishaaa https://t.co/Fki5b1JoXD,Additional Comment,NA,,,,,,
P:1587663007701614592,,,@awwmishaaa May be guys around you are privileged.,Additional Comment,NA,,,,,,
P:1587663007701614592,,,"@ashwani_kumar_4 @awwmishaaa Yaa, I also feel deal with your problem as your own",Additional Comment,NA,,,,,,
P:1587663007701614592,,,@awwmishaaa 😅💯,Additional Comment,NA,,,,,,
P:1587661282357825536,,,"@awwmishaaa @ashwani_kumar_4 No, it's like Iconic dialogue of 3 Idiots ""All is well"" And we try to keep finding the solution of those 1000 problems at which we have been stucked.",Caption,NA,,,,,,
P:1587661282357825536,,,@awwmishaaa Yep we worry too much and for nothing 🥲,Additional Comment,NA,,,,,,
