POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587679649408380929,,,@Amritanjali16 Itni similarity 🤭,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@Amritanjali16 Itni similarity 🤭,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@Amritanjali16 You're right https://t.co/a7JElBAKEq,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@Amritanjali16 Me jiska avg. 3+ hours ka hai 🙃 https://t.co/UJlKBoRNVL,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@Amritanjali16 It's game about will power 💪,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@sharmaavioo1 @Amritanjali16 https://t.co/YWBYpno7GK,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@Amritanjali16 How to check this?,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587679649408380929,,,@Amritanjali16 God ho aap 😅😂,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587651211528138752,,,@Amritanjali16 a really good pic🤗🤗🤗,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587651211528138752,,,@Amritanjali16 a really good pic🤗🤗🤗,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587651211528138752,,,@Amritanjali16 Refer in Google plz,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,"@banna_rj38 @Amritanjali16 Bhai pichle season me eren ne dikha diya ki vahi asli mastermind to armin ho ya erwin jada farak nhi padta Aur erwin ko bhi eren pe vishwas tha
Erwin shayad rumbling bhi rukva deta bina rumbling ke eren ka arc complete nhi hot. Eren is doing what he must do to protect his people",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,"@banna_rj38 @Amritanjali16 Bhai pichle season me eren ne dikha diya ki vahi asli mastermind to armin ho ya erwin jada farak nhi padta Aur erwin ko bhi eren pe vishwas tha
Erwin shayad rumbling bhi rukva deta bina rumbling ke eren ka arc complete nhi hot. Eren is doing what he must do to protect his people",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,"@banna_rj38 @Amritanjali16 Yaa , powerful enough to give motivation to even a dead/lazy one .",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,"@thesumit_26 @_jk_the_missfit @Amritanjali16 Available on animixplay.
Just search animixplay in your chrome",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,@Shubham_shk @Amritanjali16 And that speech of Erwin was just amazing 🔥🔥,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,@meengineervinay @Amritanjali16 Bhai tumhe kya lagta hai Erwin ki jagah Armin ko bachake kya sahi kra tha?,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,@rishabbbbbbh @Amritanjali16 NARUTO 💥,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,@Amritanjali16 What's your favourite genre,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,@Amritanjali16 Demon slayer 😆,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,"@Amritanjali16 Start with Demon Slayer(Kimetsu no Yaiba)  
https://t.co/diLTPvk84h",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587524235777388544,,,@Amritanjali16 ATTACK ON TITAN,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587479704285908992,,FgfcXxLaEAA6jK4.jpg,@Amritanjali16 You're right https://t.co/a7JElBAKEq,Caption,https://t.co/a7JElBAKEq,,,FALSE,FALSE,Neutral,NO
P:1587479704285908992,,,@Amritanjali16 Itni similarity 🤭,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587479704285908992,,,@Amritanjali16 You're right https://t.co/a7JElBAKEq,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
