POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587668928767180800,,,@AnishDe10 Man it happens with me too..💔,Caption,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587668928767180800,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 I travelled for almost 4 hrs and 100 kms combined just to watch a club launch and write JSP in notes...🌝🌚🌝,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 The amount of time that's invested in a relationship is a lot so breakups do hurt like crazy hahah!,Additional Comment,NA,,,,,,
P:1587668928767180800,,,"@AnishDe10 Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Don't you have whatsapp?,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Caption,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587652273853059073,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 I travelled for almost 4 hrs and 100 kms combined just to watch a club launch and write JSP in notes...🌝🌚🌝,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 The amount of time that's invested in a relationship is a lot so breakups do hurt like crazy hahah!,Additional Comment,NA,,,,,,
P:1587652273853059073,,,"@AnishDe10 Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Don't you have whatsapp?,Additional Comment,NA,,,,,,
P:1587650337556471808,,,I had this intuition today https://t.co/OkLkobEz9h,Caption,https://t.co/OkLkobEz9h,,,,,,
P:1587649962946412545,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Caption,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587649962946412545,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 I travelled for almost 4 hrs and 100 kms combined just to watch a club launch and write JSP in notes...🌝🌚🌝,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 The amount of time that's invested in a relationship is a lot so breakups do hurt like crazy hahah!,Additional Comment,NA,,,,,,
P:1587649962946412545,,,"@AnishDe10 Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Don't you have whatsapp?,Additional Comment,NA,,,,,,
P:1587646834927079424,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Caption,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587646834927079424,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 I travelled for almost 4 hrs and 100 kms combined just to watch a club launch and write JSP in notes...🌝🌚🌝,Additional Comment,NA,,,,,,
