POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587689814169513985,,,@AnishDe10 So fukin relatable,Caption,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587689814169513985,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587689814169513985,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 Huh mai toh 35 km jaata tha,Caption,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587675854892859393,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587675854892859393,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@AnishDe10 @awwmishaaa MSFT protector they already laid off 1000s,Caption,NA,,,,,,
P:1587675130511360000,,,@AnishDe10 @awwmishaaa MSFT protector they already laid off 1000s,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@ThisisVanshika @awwmishaaa I hope nothing changes to much at this front,Additional Comment,NA,,,,,,
P:1587675130511360000,,,"@awwmishaaa It's Byju's layoff more than Twitter and Microsoft. 
But it's not scary, it's their future plan to be bankrupt.",Additional Comment,NA,,,,,,
P:1587675130511360000,,,@ThisisVanshika Exactly 💯,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@ThisisVanshika @awwmishaaa I too want to chill.. 😌😌,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@awwmishaaa People who choose Remote Work/Jobs over MAANG chilling rn🙂,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@awwmishaaa 🙂🙂🙂🙂,Additional Comment,NA,,,,,,
P:1587675130511360000,,,"@awwmishaaa Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Additional Comment,NA,,,,,,
P:1587675130511360000,,,@itz_ishubham @awwmishaaa Are u in Microsoft?,Additional Comment,NA,,,,,,
P:1587675130511360000,,,@SnehaPandee @awwmishaaa Will you take care of me :),Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 Chutiyaaa saala,Caption,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587674153770852352,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587674153770852352,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Caption,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587674052742610945,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587674052742610945,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Man it happens with me too..💔,Caption,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587668928767180800,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587668928767180800,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Caption,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587652273853059073,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587652273853059073,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587650337556471808,,,I had this intuition today https://t.co/OkLkobEz9h,Caption,https://t.co/OkLkobEz9h,,,,,,
P:1587649962946412545,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Caption,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587649962946412545,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587649962946412545,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587646834927079424,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Caption,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587646834927079424,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587646834927079424,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Caption,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587644659064414208,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587644659064414208,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 Yaha 27km... same story 🙂,Caption,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587636399435808768,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587636399435808768,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 I travelled for almost 4 hrs and 100 kms combined just to watch a club launch and write JSP in notes...🌝🌚🌝,Caption,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587635455868428288,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587635455868428288,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 The amount of time that's invested in a relationship is a lot so breakups do hurt like crazy hahah!,Caption,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 So fukin relatable,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 Huh mai toh 35 km jaata tha,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 Chutiyaaa saala,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 अबे लोडू .. I have to walk 1-2 km from hostel to classroom aur jaise he pta chalta ki lecture cancel ho gya kya khushi milti thi .. fhir chai- sutta aur laundo ke kaath bakchodi aur tumhara dil toot rha hai,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 Man it happens with me too..💔,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 My collage is 10km away and I got 3 lecture almost 9 hours including going to college and coming from college.......|⁠∵⁠|,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@Ammy3165 @AnishDe10 librabry padhne ke liye hota?,Additional Comment,NA,,,,,,
P:1587567720190861312,,,"@AnishDe10 In fact, that is one of the best feelings in the world",Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 Meine college jana hi band kr diya h isiliye  🤡,Additional Comment,NA,,,,,,
P:1587567720190861312,,,@AnishDe10 Yaha 27km... same story 🙂,Additional Comment,NA,,,,,,
P:1587554868478283779,,,"Ganta class kosam Three hours travel chestam(250km),100 $ bokka.
Arustunnama https://t.co/cxXBmb9EX2",Caption,https://t.co/cxXBmb9EX2,,,,,,
P:1587554868478283779,,,@stanRO45 Doola teeripodhi,Additional Comment,NA,,,,,,
P:1587554868478283779,,,"@Uchiha_Kai45 Haa,ollu hoonam aipoddi",Additional Comment,NA,,,,,,
P:1587554868478283779,,,@Sumanthh_ Anni kudarali gara,Additional Comment,NA,,,,,,
P:1587554868478283779,,,@stanRO45 Bangalore nunchi kadapa 🙏,Additional Comment,NA,,,,,,
P:1587554868478283779,,,"@stanRO45 250km ha 😵😵😵😵🙏 , clg deggare undocchu ga",Additional Comment,NA,,,,,,
P:1587554868478283779,,,"@ImVK__ Maa dantlo Ala undadu,Aade decide chestadu",Additional Comment,NA,,,,,,
P:1587554868478283779,,,@stanRO45 Haa anni class lu oke day unde la teeskovalsindi 😅nen alage chesa,Additional Comment,NA,,,,,,
P:1587554868478283779,,,"@ImVK__ Munde cheptarle,travel gurinchi antunna",Additional Comment,NA,,,,,,
P:1587554868478283779,,,@stanRO45 Professor lu munde intimate cheyyara class Ledhu ani??,Additional Comment,NA,,,,,,
P:1587554868478283779,,,@MostViolentMan Ah 2 classes ki mandatory,Additional Comment,NA,,,,,,
P:1587537198580367361,,,27kms*🙂 https://t.co/1IU7I7xDNX,Caption,https://t.co/1IU7I7xDNX,,,,,,
P:1587532882842685447,,,"@AnishDe10 Happy #Halloween2022 to everyone in the #SpookyShiba Community (Current and Future)
Here’s to a huge year ahead for #SPKY
#BNB #BinanceSPKY #Binance

https://t.co/vZ3azLjK80",Caption,https://t.co/vZ3azLjK80,,,,,,
