POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584069089076871168,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584069025570529280,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584069025042419712,,,@AskAnshul My god West Bengal is heading towards a very wrong direction,Caption,,,,,,,
P:1584069025042419712,,,@AskAnshul My god West Bengal is heading towards a very wrong direction,Additional Comment,,,,,,,
P:1584069025042419712,,,"@AskAnshul Hey @rakhitripathi look Muslims are being harassed.
#islamophobia",Additional Comment,,,,,,,
P:1584069025042419712,,,@vcsvardan1 @AskAnshul @meenaksi050162 Must be busy supporting the scam call centers n their owners who feed $$$ in their pockets🤔🤔,Additional Comment,,,,,,,
P:1584069025042419712,,,"@AskAnshul 2 decades down the line, bollywood will make a movie on these guys and tell the country how these social workers were trying to help women in distress.",Additional Comment,,,,,,,
P:1584069025042419712,,,@innovativetrad3 @shalomsureshm @Starboy2079 @AskAnshul How do you NOT know it. It’s not just an Indian event - they follow the same logic in UK and elsewhere too,Additional Comment,,,,,,,
P:1584069025042419712,,,@AskAnshul What the hell our @HMOIndia under @AmitShah doing???,Additional Comment,,,,,,,
P:1584069025042419712,,,@AskAnshul @amz360 Waiting for Bollywood to make a movie on this with Brahmins as the perpetrators and Usman saving the minors.,Additional Comment,,,,,,,
P:1584069025042419712,,,@AskAnshul Local administration and government are sleeping..!!! Without support of them..it’s not possible 👍🏻✅,Additional Comment,,,,,,,
P:1584069025042419712,,,@ShaikRa04272140 @AskAnshul Allah ke bande ...dalali kr rhe hain...par ye to khandani pesa h tumhara...Isis wale bhi yajidio ki ladkiya bech rhe the,Additional Comment,,,,,,,
P:1584069025042419712,,,@AskAnshul @MahuaMoitra can you raise your voice on this ??,Additional Comment,,,,,,,
P:1584068869429530624,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584068814375129088,,,"RT @AskAnshul: Now, The Bell House deleted tweet

Diwali party organised to raise funds for Pakistan, proceeds go to Alkhidmat Foundation…",Caption,,,,,,,
P:1584068691775262720,,,"RT @AskAnshul: Now, The Bell House deleted tweet

Diwali party organised to raise funds for Pakistan, proceeds go to Alkhidmat Foundation…",Caption,,,,,,,
P:1584068691771392002,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584068636813033472,,,"RT @AskAnshul: Now, The Bell House deleted tweet

Diwali party organised to raise funds for Pakistan, proceeds go to Alkhidmat Foundation…",Caption,,,,,,,
P:1584068633914843136,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584068623328768000,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584068612276768769,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584068587802984448,,,"RT @AskAnshul: ISRO successfully placed 36 OneWeb satellites into orbit in its first commercial mission.

OneWeb is building a space-based…",Caption,,,,,,,
P:1584068545088221186,,,RT @MinorityMjs: అమ్మ @padma_vasireddy గారు మికు ఏ మాత్రం కుల గజ్జి లేకపోతే ఈ బొరుగడ్డ అనే లుచ్చా గాడు పవన్ కళ్యాణ్ గారి ఫ్యామిలీ మీద ఇంతా…,Caption,,,,,,,
