Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1562765814411198464,,,"Who knew my song with phoenix will have a choreography and performance like this.. 
INSANE .. 

https://t.co/RgWwl7Q5fa",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1559121205730217984,,,"Happy Independence Day ...
https://t.co/SD6qLuRoSu",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1549708455539159041,,FYGrn5_UEAACtek.jpg,Thank You Australia .. We are obliged with your love and support . Special thanks to the promoters and the entire t… https://t.co/5dQWFjFqbd,Caption,https://pbs.twimg.com/media/FYGrn5_UEAACtek.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1531364605477498882,,FUB__aNXoAAtoFl.jpg,"Thank You Washington DC and New Jersey ….
Looking forward tk Vancouver , Seattle and Phoenix this weekend … https://t.co/XPyqZzQRSe",Caption,https://pbs.twimg.com/media/FUB__aNXoAAtoFl.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1530074170205298688,,LFpmVG4aFQbCIZpi.jpg,"Thank You Houston, Atlanta and Austin for last week.
Looking forward to Washington DC and New Jersey this weekend .. https://t.co/pfiXzKr1Hj",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1530074094716211201/pu/img/LFpmVG4aFQbCIZpi.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1527014356613058561,,0qIgHbZAaoNqk2OV.jpg,"Loved performing with everyone in Orlando and Boston last week. Thank You for making us feel so special ????
Looking… https://t.co/T0zyNVt5Ly",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1527013989460369412/pu/img/0qIgHbZAaoNqk2OV.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1526337509633818624,,FS6j3tKUEAEY3L3.jpg,Thank You Boston ?????? https://t.co/Qd4TDAuAbT,Caption,https://pbs.twimg.com/media/FS6j3tKUEAEY3L3.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1525853835884867584,,FSzr-PeUUAAaG4n.jpg,Orlando …. You were awesome ???? Looking forward to Boston tonight .. https://t.co/yv2anuXeEm,Caption,https://pbs.twimg.com/media/FSzr-PeUUAAaG4n.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1524453985092055041,,wE5MVvUrU6LH2x5P.jpg,"Loved your energy Chicago, Bay Area and Dallas 
We have already arrived in Orlando . Looking forward to the gigs th… https://t.co/cl0t7fYUaR",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1524453899519905792/pu/img/wE5MVvUrU6LH2x5P.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1524146954502086662,,FSbbcWXXMAASuJ4.jpg,Thank You Dallas for giving a perfect finish to  the first week of our tour… Looking forward to the next cities … https://t.co/Kv7zLr2o1N,Caption,https://pbs.twimg.com/media/FSbbcWXXMAASuJ4.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1523416357614010368,,FSRDGLhXIAAbvIG.jpg,Bay Area .. Thank You for the love last night . Tonight in Dallas .. https://t.co/TBZrq8U6nM,Caption,https://pbs.twimg.com/media/FSRDGLhXIAAbvIG.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1523067225061560320,,FSMFkXfVIAAIs7Q.jpg,Thank You Chicago for last evening … Its Oakland tonight… https://t.co/rxr1FuAKip,Caption,https://pbs.twimg.com/media/FSMFkXfVIAAIs7Q.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1522653408209031169,,6G7Qv4PKpv7OpIE5.jpg,See you tonight Chicago .. at @NOW_Arena @showfest_1 https://t.co/4Z3XuxoW48,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1522653286347816967/pu/img/6G7Qv4PKpv7OpIE5.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1522450623324729344,,FSDUxUrUcAAE457.jpg,"Thank You for the love in our last week’s conerts in Rotterdam, Birmingham and London… https://t.co/Cncep1Dkg6",Caption,https://pbs.twimg.com/media/FSDUxUrUcAAE457.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1520539228626632704,,FRoKXnVXoAA9DTV.jpg,Thank You London.. We are looking forward to perform with you .. https://t.co/KC3n1CfvGp,Caption,https://pbs.twimg.com/media/FRoKXnVXoAA9DTV.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1519615219579994112,,FRbB_GOXMAAmltv.jpg,Thank You ???? looking forward to perform tomorrow with you all at @rotterdamahoy https://t.co/oJsfQTSZ8N,Caption,https://pbs.twimg.com/media/FRbB_GOXMAAmltv.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1518101860606832640,,FRFhlwUVcAEHQR-.jpg,Starting this 29th April … https://t.co/ENTPSVUdF9,Caption,https://pbs.twimg.com/media/FRFhlwUVcAEHQR-.jpg,,,FALSE,FALSE,NEUTRAL,NO
P:1505074166411669505,,FOMY-VXVUAM4_gG.jpg,"This Holi ,All We had is #yaadeinwohi https://t.co/p3gBnHSDKj https://t.co/LPthFE1L21",Caption,https://pbs.twimg.com/media/FOMY-VXVUAM4_gG.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1498716687876583424,,FMyC4E4VQAIXHRz.jpg,"Embracing the power which drives the universe; the energy of Adiyogi Lord Shiva with this new track..

#DehShiva… https://t.co/2oq2jylzgu",Caption,https://pbs.twimg.com/media/FMyC4E4VQAIXHRz.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1498406723979132929,,FMto-KtVQAIdMEa.jpg,#DEHSHIVA Releasing today on @https://youtube.com/c/OriyonMusicByArijitSingh https://t.co/NE68A2ht6X,Caption,https://pbs.twimg.com/media/FMto-KtVQAIdMEa.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1491352901746573323,,g0e7HPZw7gXqmpjj.jpg,Thank You Dubai once again for being the best audience … Here is a glimpse of our recent 4th Feb gig at Coca-Cola A… https://t.co/wzKBabr7mx,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1491346445659619328/pu/img/g0e7HPZw7gXqmpjj.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1469009271513776131,,FGL4I_rUUAQIvKJ.jpg,"North America.. Looking forward to see you in 2022 .. 

ShowFest presents Arijit Singh North America Tour 2022. 

V… https://t.co/ltinNcnkjp",Caption,https://pbs.twimg.com/media/FGL4I_rUUAQIvKJ.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1463746794072858627,,FFBF8vFVIAQSHS7.jpg,Get your tickets soon at https://t.co/VAdCOp9JM2 https://t.co/z4q3ds6T8A,Caption,https://pbs.twimg.com/media/FFBF8vFVIAQSHS7.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1463468475616141320,,FE9I0QIUcAIm518.jpg,"Dubai ... See you on 21st Jan .. 

Early Bird tickets are available now at https://t.co/VAdCOp9JM2 https://t.co/JzVzdPlteR",Caption,https://pbs.twimg.com/media/FE9I0QIUcAIm518.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1461880382572404738,,,Thank You @abudhabi for making us feel alive after 22 months . Loved performing with you at @etihadarena.ae https://t.co/LN736h9EJ5,Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1461335191457312772,,WTtcI_xoXvY3UsVo.jpg,Glad to be performing after almost 2 years. See you on 19th Nov Abu Dhabi .. https://t.co/BwzOIelWNI,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1461335110041894920/pu/img/WTtcI_xoXvY3UsVo.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1459077143262949377,,,"#TeraHua from #Cash. Song OUT NOW - https://t.co/ctBvDaTLhk

@visheshb7 @amolparashar @gulshangroverGG… https://t.co/V9m4QaATYL",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1447977403272159234,,FBg_w-vUUAQ5zU7.jpg,"This festive season, spread love and divinity with ‘He Sokha’ Out Now - https://t.co/GVLoCZTHlY  #HeShoka… https://t.co/4IRkgPKOaQ",Caption,https://pbs.twimg.com/media/FBg_w-vUUAQ5zU7.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1445295753870516225,,,One year of Rihaa.. Thanks for all your love to @OriyonmusicbyAS https://t.co/rYlUxftE4j,Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1442738854528577540,,,Happy Birthday Lata di https://t.co/iCCB19DQNN,Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1438065707451764739,,,"If you or someone you know is struggling with distressing thoughts and emotional pain, please reach out at Mpower's… https://t.co/UTTeezKHmY",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1438065586584514564,,,"This #WorldSuicidePreventionDay,  seek help, step towards a life of light and love, and say #ZindagiKoHi5… https://t.co/cEmAVGTpD0",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1433448542660698113,,E-Sh2TwVQAAqTTp.jpg,"Hello Abu Dhabi Looking forward to perform with you on 19th November 2021 at Etihad Arena, Yas Island.  
Tickets ar… https://t.co/w7hJdME2L9",Caption,https://pbs.twimg.com/media/E-Sh2TwVQAAqTTp.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1431524739210563585,,M5xxHW1YtE6-LFEt.jpg,"A farmer is an Artist.
Amra Chas Kori Anonde is a tribute to these artists.

Listen to Rabindranath Tagore’s beauti… https://t.co/nIgwHL65Ns",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1431524513951322118/pu/img/M5xxHW1YtE6-LFEt.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1398950483302117386,,,"Donate and Help Spread the word if you can..

https://t.co/hSo5hsO5ii",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1392091735958851586,,E1G0C2VVgAURCyA.jpg,Please take care ?? https://t.co/VGSYwuy85l,Caption,https://pbs.twimg.com/media/E1G0C2VVgAURCyA.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1392091256604348416,,E1GzmuhVUAoLzVM.jpg,https://t.co/9HPB7i1QVW,Caption,https://pbs.twimg.com/media/E1GzmuhVUAoLzVM.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1392090966299844610,,E1GzWB_VkAghWlH.jpg,"????? ???? ????? ???? 
Thanks @PrabudhaSaurabh for translation https://t.co/TBFPeozh9F",Caption,https://pbs.twimg.com/media/E1GzWB_VkAghWlH.jpg,,,FALSE,FALSE,POSITIVE,NO
P:1390236823134171138,,,I am thankful to people who reached out and helped but please remember we are all human beings. Every individual is priority.,Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1390236806961012738,,,"It is my humble request to those who are trying to help me at this hour, Please Do not overdo things just because y… https://t.co/fRv6jEPhrE",Caption,,,,FALSE,FALSE,POSITIVE,NO
P:1390228489685508101,,,"???? ??????? ???? ?????? ???? ????? ???? ???? ??????? ??? ????
?????? ????? ????? ??? ????????????? ???? ??????????… https://t.co/TtHHUhTXOq",Caption,,,,FALSE,FALSE,NEUTRAL,NO
P:1390228439806791692,,,????? ???? Covid-19 ?? ????  ????? ????? ???? ?????? ??????  ?????? ?????? ??? ?????? ?????? ???? ?????? ??? ??? ??… https://t.co/aL3q6to63T,Caption,,,,FALSE,FALSE,NEUTRAL,NO
