POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584636380512075776,,,"They shot and silented a journalist! An international investigation is needed.
@pressfreedom @ErikHalkjaer @globalfreemedia @OSCE_RFoM @RSF_inter @RSF_Europe @Reuters
 @UNHumanRights @UN  #HumanRights @omctorg
@USCIRF @BBCNews @NewYorker @MailOnline @washingtonpost @BBCWorld https://t.co/8Pgjj9WGND",Caption,https://t.co/8Pgjj9WGND,,,,,,
P:1584636378142298112,,I9_jFr9zDX4qFmj0.jpg,"RT @BBCWorld: Money rains on highway after Chile burglary

https://t.co/FdpVhR3OVr https://t.co/Rt6uCffuc1",Caption,https://t.co/Rt6uCffuc1,,,,,,
P:1584636370391535616,,,RT @BBCWorld: Plane overruns runway in bad weather and crashes in the Philippines https://t.co/0UwIo7PfEa,Caption,https://t.co/0UwIo7PfEa,,,,,,
P:1584636370219577344,,I9_jFr9zDX4qFmj0 (1).jpg,"RT @BBCWorld: Money rains on highway after Chile burglary

https://t.co/FdpVhR3OVr https://t.co/Rt6uCffuc1",Caption,https://t.co/Rt6uCffuc1,,,,,,
P:1584636352888700928,,I9_jFr9zDX4qFmj0 (2).jpg,"RT @BBCWorld: Money rains on highway after Chile burglary

https://t.co/FdpVhR3OVr https://t.co/Rt6uCffuc1",Caption,https://t.co/Rt6uCffuc1,,,,,,
P:1584636352075010048,,,@volkvulture1 @Craigscene @BBCWorld Ok tovarich faminologist. Leave it at this: you and all the rest of the Russian apologist camp can take a flying leap. Slava Ukraini.,Caption,NA,,,,,,
P:1584636352075010048,,,@volkvulture1 @Craigscene @BBCWorld Ok tovarich faminologist. Leave it at this: you and all the rest of the Russian apologist camp can take a flying leap. Slava Ukraini.,Additional Comment,NA,,,,,,
P:1584636352075010048,,,"@lisaliasdc @Craigscene @BBCWorld Conquest's comment on Whaetcroft concedes evidence does not bear out intentional genocide

Applebaum cannot be considered a scholar&amp;so her opinion is not credible as such. Hence why PhD faminologists reject it

https://t.co/nMHLGZJq47

Britannica article was written by Applebaum",Additional Comment,NA,,,,,,
P:1584636352075010048,,,"@volkvulture1 @Craigscene @BBCWorld Conquest’s comment on Wheatcroft doesn’t say that, and you don’t need a phd to write a book. That said, check https://t.co/HG8CE6IsWn or Wikipedia. You don’t have to agree, but the mainstream view, supported by evidence, is what it is.",Additional Comment,NA,,,,,,
P:1584636352075010048,,,@volkvulture1 @lisaliasdc @Craigscene @BBCWorld the only fact we have here is that your mom was very pleased by being stuffed with dog's cock yesterday,Additional Comment,NA,,,,,,
P:1584636352075010048,,,"@lisaliasdc @Craigscene @BBCWorld Conquest admitted that Wheacroft and Davies were correct and Anne Applebaum is not a scholar or academic

She dropped out of her PHD program because she did not take her studies seriously",Additional Comment,NA,,,,,,
P:1584636352075010048,,,@volkvulture1 @Craigscene @BBCWorld Just like you disagree with Applebaum and Conquest. As is your right.,Additional Comment,NA,,,,,,
P:1584636352075010048,,,@lisaliasdc @Craigscene @BBCWorld Then you disagree with the scholarship by prominent mainstream academics like Wheatcroft and Davies,Additional Comment,NA,,,,,,
P:1584636352075010048,,,@volkvulture1 @Craigscene @BBCWorld I already understand you don’t believe Stalin was responsible tovarich. I don’t agree.,Additional Comment,NA,,,,,,
P:1584636352075010048,,,"@lisaliasdc @Craigscene @BBCWorld Scholarship by the foremost mainstream academic Sovietologists like Wheatcroft and Davies says a famine occurred but the narrative about ""intentionality"" or even genocidal targeting of the famine on any group was concoted by OUN Ukrainian fascist emigres in the Cold War period https://t.co/9kaxeuvZdv",Additional Comment,NA,,,,,,
P:1584636352075010048,,,"@volkvulture1 @Craigscene @BBCWorld What I’m referring to is a body of scholarship that is there. If you don’t believe the conclusions of that scholarship, then you don’t believe them. But your denialism is not going to influence reality any more than Holocaust denialism is going to raise the dead of that event.",Additional Comment,NA,,,,,,
P:1584636347725541376,,I9_jFr9zDX4qFmj0 (3).jpg,"RT @BBCWorld: Money rains on highway after Chile burglary

https://t.co/FdpVhR3OVr https://t.co/Rt6uCffuc1",Caption,https://t.co/Rt6uCffuc1,,,,,,
P:1584636339776933888,,,@BBCWorld You will never hear this madness in the comunist China. But at least US can vote and choose their leaders. lol,Caption,NA,,,,,,
P:1584636339776933888,,,@BBCWorld You will never hear this madness in the comunist China. But at least US can vote and choose their leaders. lol,Additional Comment,NA,,,,,,
P:1584636339776933888,,,@BBCWorld what are 7 security guards for if all they gonna do is call the police when an active shooter is on campus?,Additional Comment,NA,,,,,,
P:1584636339776933888,,,@BBCWorld The Americans will say more guns will reduce this.,Additional Comment,NA,,,,,,
P:1584636339776933888,,,@BBCWorld This is not news! It is the norm in the USA,Additional Comment,NA,,,,,,
P:1584636339776933888,,,@BBCWorld Another Christianic Terrorist attack on U.S. 😵,Additional Comment,NA,,,,,,
P:1584636339776933888,,,"@BBCWorld I like how Americans react to stabbings in Canada with ""ban knives"" comments, so I'd suggest the US ban schools or kids in return.",Additional Comment,NA,,,,,,
P:1584636339776933888,,,@Snio_Nyx @BBCWorld Ok bot.,Additional Comment,NA,,,,,,
