POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584934776808488961,,2T2hzpXAdwUhCdgK.jpg,RT @arunrao64str: @ShefVaidya @dhruv_rathee Reminds this epic video of Sadguru and suits him perfectly. https://t.co/aylzyTKqqB,Caption,https://t.co/aylzyTKqqB,,,,,,
P:1584933111997267968,,,"@VartikaTonk It's urgent.
@ZeeNews @sudhirchaudhary @aajtak @AajKamranKhan @davidwarner31 @patcummins30 @indiatvnews @HMOIndia @timesofindia @RahulGandhi @official_Arnab_ @ReporterRavish @mlkhattar @RishabhPant17 @UrvashiRautela @Uppolice @cmohry @DGPHaryana @dhruv_rathee",Caption,NA,,,,,,
P:1584933111997267968,,,"@VartikaTonk It's urgent.
@ZeeNews @sudhirchaudhary @aajtak @AajKamranKhan @davidwarner31 @patcummins30 @indiatvnews @HMOIndia @timesofindia @RahulGandhi @official_Arnab_ @ReporterRavish @mlkhattar @RishabhPant17 @UrvashiRautela @Uppolice @cmohry @DGPHaryana @dhruv_rathee",Additional Comment,NA,,,,,,
P:1584933111997267968,,,"@VartikaTonk The media should really pay attention to such atrocities. @rahulkanwal @RubikaLiyaquat @BDUTT @RajatSharmaLive @sudhirchaudhary @ravishndtv. @mlkhattar sir, how could this happen? Please bring justice to the family. @Uppolice @UPGovt @dgpup @CMOfficeUP @cmohry",Additional Comment,NA,,,,,,
P:1584933111997267968,,,@VartikaTonk @peepoye_ there might be a cover story behind this.,Additional Comment,NA,,,,,,
P:1584933111997267968,,,"@VartikaTonk Please help her @Uppolice , These incidents must not be happening. Extremely heartbreaking.",Additional Comment,NA,,,,,,
P:1584933111997267968,,,"@VartikaTonk Justice needs to be served
Really heart breaking to see such news
@Uppolice @myogiadityanath @cmohry please take appropriate action",Additional Comment,NA,,,,,,
P:1584933111997267968,,,@VartikaTonk @ElvishYadav @AskAnshul @HMOIndia @ThePlacardGuy,Additional Comment,NA,,,,,,
P:1584933111997267968,,,"@VartikaTonk To the respected authorities @CMOfficeUP @cmohry. Kindly look into this matter. And its a request to 
Media house @aajtak @sudhirchaudhary @ZeeNewsCrime @ndtvindia @anjanaomkashyap , be the voice of the family. 

@TonkVartika be strong my friend. 
# we are with you",Additional Comment,NA,,,,,,
P:1584933111997267968,,,"@VartikaTonk @aajtak @ZeeNews @ndtv @indiatvnews @ABPNews @TimesNow @HindustanTimes @News24 @NewsNation @ZEEUPUK @hrw @unwomenindia May the truth prevail!
Sending you tonnes of hugs and loads of strength Vartika. 
@myogiadityanath @myogioffice @UPGovt @Uppolice",Additional Comment,NA,,,,,,
