POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587671708462649344,,,@callmepandey OMG! Society will not accept you buddy..😅,Caption,NA,,,,,,
P:1587671708462649344,,,"@uivtv69 I already have a job and idea bro, it was just that it was not my day",Additional Comment,NA,,,,,,
P:1587671708462649344,,,@callmepandey OMG! Society will not accept you buddy..😅,Additional Comment,NA,,,,,,
P:1587671708462649344,,,"@callmepandey First In, First Out",Additional Comment,NA,,,,,,
P:1587671708462649344,,,@callmepandey Which company sir,Additional Comment,NA,,,,,,
P:1587671708462649344,,,@callmepandey Life is standing right in front us as DSA,Additional Comment,NA,,,,,,
P:1587671708462649344,,,@callmepandey You could use Floyd's cycle detection algo,Additional Comment,NA,,,,,,
P:1587671708462649344,,,"@callmepandey https://t.co/stZ4dO5r8n

Checkout this playlist 🥂",Additional Comment,NA,,,,,,
P:1587671708462649344,,,"@callmepandey Hi, are you a backend software engineer?",Additional Comment,NA,,,,,,
P:1587671708462649344,,,@callmepandey 😞,Additional Comment,NA,,,,,,
P:1587671708462649344,,,"@callmepandey It happens. For Linked List, it is very common.",Additional Comment,NA,,,,,,
P:1587666350155390977,,,"@callmepandey First In, First Out",Caption,NA,,,,,,
P:1587666350155390977,,,"@uivtv69 I already have a job and idea bro, it was just that it was not my day",Additional Comment,NA,,,,,,
P:1587666350155390977,,,@callmepandey OMG! Society will not accept you buddy..😅,Additional Comment,NA,,,,,,
P:1587666350155390977,,,"@callmepandey First In, First Out",Additional Comment,NA,,,,,,
P:1587666350155390977,,,@callmepandey Which company sir,Additional Comment,NA,,,,,,
P:1587666350155390977,,,@callmepandey Life is standing right in front us as DSA,Additional Comment,NA,,,,,,
P:1587666350155390977,,,@callmepandey You could use Floyd's cycle detection algo,Additional Comment,NA,,,,,,
P:1587666350155390977,,,"@callmepandey https://t.co/stZ4dO5r8n

Checkout this playlist 🥂",Additional Comment,NA,,,,,,
P:1587666350155390977,,,"@callmepandey Hi, are you a backend software engineer?",Additional Comment,NA,,,,,,
P:1587666350155390977,,,@callmepandey 😞,Additional Comment,NA,,,,,,
P:1587666350155390977,,,"@callmepandey It happens. For Linked List, it is very common.",Additional Comment,NA,,,,,,
P:1587658470228373506,,,@callmepandey Which company sir,Caption,NA,,,,,,
P:1587658470228373506,,,"@uivtv69 I already have a job and idea bro, it was just that it was not my day",Additional Comment,NA,,,,,,
P:1587658470228373506,,,@callmepandey OMG! Society will not accept you buddy..😅,Additional Comment,NA,,,,,,
P:1587658470228373506,,,"@callmepandey First In, First Out",Additional Comment,NA,,,,,,
P:1587658470228373506,,,@callmepandey Which company sir,Additional Comment,NA,,,,,,
P:1587658470228373506,,,@callmepandey Life is standing right in front us as DSA,Additional Comment,NA,,,,,,
P:1587658470228373506,,,@callmepandey You could use Floyd's cycle detection algo,Additional Comment,NA,,,,,,
P:1587658470228373506,,,"@callmepandey https://t.co/stZ4dO5r8n

Checkout this playlist 🥂",Additional Comment,NA,,,,,,
P:1587658470228373506,,,"@callmepandey Hi, are you a backend software engineer?",Additional Comment,NA,,,,,,
P:1587658470228373506,,,@callmepandey 😞,Additional Comment,NA,,,,,,
P:1587658470228373506,,,"@callmepandey It happens. For Linked List, it is very common.",Additional Comment,NA,,,,,,
P:1587638858761789440,,,@callmepandey Life is standing right in front us as DSA,Caption,NA,,,,,,
P:1587638858761789440,,,"@uivtv69 I already have a job and idea bro, it was just that it was not my day",Additional Comment,NA,,,,,,
P:1587638858761789440,,,@callmepandey OMG! Society will not accept you buddy..😅,Additional Comment,NA,,,,,,
P:1587638858761789440,,,"@callmepandey First In, First Out",Additional Comment,NA,,,,,,
P:1587638858761789440,,,@callmepandey Which company sir,Additional Comment,NA,,,,,,
