POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587110245393899521,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587109408206737408,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587105227559288832,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587104644861513728,,,Ghost ants...really. https://t.co/so67AJlwDm,Caption,https://t.co/so67AJlwDm,,,FALSE,FALSE,Positive,NO
P:1587104250475290624,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587102333313294337,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587100116699287554,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587095376825184260,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587094900830617600,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587091787407056897,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587090369371684865,,,Creepy crawlies 🐜🎃 https://t.co/MKMLJ4tWuu,Caption,https://t.co/MKMLJ4tWuu,,,FALSE,FALSE,Positive,NO
P:1587089885021732867,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587086500327526402,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587086156302323713,,FgZ2cPPXgAMez_J.jpg,@InsideNatGeo @joelsartore Bats are mysterious creatures! https://t.co/7k7Wn2bO9I,Caption,https://t.co/7k7Wn2bO9I,,,FALSE,FALSE,Positive,NO
P:1587086156302323713,,,@InsideNatGeo @joelsartore Bats are mysterious creatures! https://t.co/7k7Wn2bO9I,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587084050267000834,,,"RT @joelsartore: It doesn’t take long for these ghost ants to put on their Halloween costumes! Minutes after ingesting a mixture of sugar,…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587082133385973760,,,"RT @InsideNatGeo: Try to keep up with these Mexican free-tailed bats fleeing Eckert James River Bat Cave Preserve!  🦇 

#NatGeoExplorer @Jo…",Caption,NA,,,FALSE,FALSE,Positive,NO
