Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587283686491271168,,,RT @jayasri10964921: ??? ?? ??? ???? ?? ??? ???? v ?????? ????? ???? ?? ??,Caption,NA,,,FALSE,FALSE,NEGATIVE,YES
P:1587280023140306946,,,RT @jayasri10964921: ??? ?? ??? ???? ?? ??? ???? v ?????? ????? ???? ?? ??,Caption,NA,,,FALSE,FALSE,NEGATIVE,YES
P:1587262115391635457,,,@TheKangnaRanut Right,Caption,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut Right,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut Jaach pad? taal honi chaahiye; https://t.co/hD6cqcCbed,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut @Asksindia_ ???? ?????? ???? ?? ?????? ?? ???? ???? ????? ???? ?? ?????? ?? ?? ???? ???? ????? ???? ??? ???? ????? ????? ????? ??? ?? ?????,Additional Comment,NA,,,FALSE,FALSE,NEGATIVE,YES
P:1587262115391635457,,,"@TheKangnaRanut ???????? ?? ???? ?????? ?? ?? ???? ????? ???? ???? ?? ?? ???? ????? ?? ? ??? ??? ? ??? ??
 ??? ?? ??? 
????",Additional Comment,NA,,,TRUE,FALSE,NEGATIVE,YES
P:1587262115391635457,,,@TheKangnaRanut Absolutely,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut https://t.co/fPQNlD89AP,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut https://t.co/oQrtugrRg3,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut https://t.co/RUAertxB2e,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut Yes CBI jaanch honi chahiye,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587262115391635457,,,@TheKangnaRanut Agree @Bhupendrapbjp CBI Inquiry,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587245120595689472,,,??? ?? ??? ???? ?? ??? ???? v ?????? ????? ???? ?? ?? https://t.co/EX7HRcHCY8,Caption,https://t.co/EX7HRcHCY8,,,TRUE,FALSE,NEGATIVE,YES
P:1587238575984082945,,,Yes https://t.co/q8MavpsLkg,Caption,https://t.co/q8MavpsLkg,,,FALSE,FALSE,POSITIVE,NO
P:1587224430635323392,,,@TheKangnaRanut Is that really u or someone made fake account on your name??,Caption,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587224430635323392,,,@TheKangnaRanut Is that really u or someone made fake account on your name??,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587224430635323392,,,@TheKangnaRanut @Asksindia_ ??,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587224430635323392,,,@TheKangnaRanut Well done madam ji,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587224430635323392,,,@TheKangnaRanut How many fake IDs you have? Dikra,Additional Comment,NA,,,FALSE,FALSE,NEGATIVE,YES
P:1587224430635323392,,,@TheKangnaRanut ??? ?? ???? ???? ?? ???? ???? ??????? ?? ???,Additional Comment,NA,,,TRUE,TRUE,NEGATIVE,YES
P:1587224430635323392,,,@TheKangnaRanut Fake,Additional Comment,NA,,,FALSE,FALSE,NEGATIVE,NO
P:1587224430635323392,,,@TheKangnaRanut ??? ?? ??? ?? ???? ?? ?? ? ?? ?? know ?? ?? ?? ??,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587224430635323392,,,"@Jahangi82877119 @ramsingh54851 @TheKangnaRanut Abe dogle ki bat nahi hai jabhi to aae din stone pelting ,k@mlesh tiwari aur udaipur khaniylal case jaese dekhna pada",Additional Comment,NA,,,TRUE,FALSE,NEGATIVE,YES
P:1587224430635323392,,,@TheKangnaRanut Welcome madam.,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587224430635323392,,,@TheKangnaRanut @Asksindia_ Welcome Back Mam,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587184410541293569,,,@TheKangnaRanut @Asksindia_ ??,Caption,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587184410541293569,,,@TheKangnaRanut Is that really u or someone made fake account on your name??,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587184410541293569,,,@TheKangnaRanut @Asksindia_ ??,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587184410541293569,,,@TheKangnaRanut Well done madam ji,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587184410541293569,,,@TheKangnaRanut How many fake IDs you have? Dikra,Additional Comment,NA,,,FALSE,FALSE,NEGATIVE,NO
P:1587184410541293569,,,@TheKangnaRanut ??? ?? ???? ???? ?? ???? ???? ??????? ?? ???,Additional Comment,NA,,,TRUE,TRUE,NEGATIVE,YES
P:1587184410541293569,,,@TheKangnaRanut Fake,Additional Comment,NA,,,FALSE,FALSE,NEGATIVE,NO
P:1587184410541293569,,,@TheKangnaRanut ??? ?? ??? ?? ???? ?? ?? ? ?? ?? know ?? ?? ?? ??,Additional Comment,NA,,,FALSE,FALSE,NEUTRAL,NO
P:1587184410541293569,,,"@Jahangi82877119 @ramsingh54851 @TheKangnaRanut Abe dogle ki bat nahi hai jabhi to aae din stone pelting ,k@mlesh tiwari aur udaipur khaniylal case jaese dekhna pada",Additional Comment,NA,,,FALSE,FALSE,NEGATIVE,NO
P:1587184410541293569,,,@TheKangnaRanut Welcome madam.,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
P:1587184410541293569,,,@TheKangnaRanut @Asksindia_ Welcome Back Mam,Additional Comment,NA,,,FALSE,FALSE,POSITIVE,NO
