POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584928692392067072,,Ff7MPu6VEAAJDVj.jpg,@shalabhmani @narendramodi बेचारे अंधभक्त फर्जी हिंदूवाद के चक्कर में अपने देश को छोड़कर पाकिस्तानियों का साथ देने लगे हैं। https://t.co/Uefz6I2l3h,Caption,https://t.co/Uefz6I2l3h,,,,,,
P:1584928692392067072,,,@shalabhmani @narendramodi बेचारे अंधभक्त फर्जी हिंदूवाद के चक्कर में अपने देश को छोड़कर पाकिस्तानियों का साथ देने लगे हैं। https://t.co/Uefz6I2l3h,Additional Comment,NA,,,,,,
P:1584928692392067072,,,@shalabhmani @narendramodi #गन्ना_शोध_परिषद के विभागीय नियमानुसार मई 2019 से मृतक आश्रित नियुक्ति पर रोक है। जबकि मेरे पिता जी स्व०वेद प्रकाश मिश्रा का निधन 2 दिसम्बर 2018 को हुआ है। कोई भी नियम 6 महीने पहले वाले प्रकरण पर कैसे लागू होगा ???,Additional Comment,NA,,,,,,
P:1584928692392067072,,,"@shalabhmani @narendramodi दिल जीत लिया आज ऋषि सुनक ने ❤️
एक भारतीय पत्रकार ने ऋषि सुनक जी से कहा के अब आप प्रधानमंत्री बन गए हैं तो हमारा कोहिनूर हीरा हमें वापस दिलवा दीजिये,जिस पर ऋषि सुनक जी ने कहा के कोहिनूर हीरा तो आलरेडी पिछले 8 साल से दिल्ली में है, 7 लोक कल्याण मार्ग पर।(मोदीजी का निवास)",Additional Comment,NA,,,,,,
P:1584928692392067072,,,@shalabhmani @narendramodi 🙏🙏🪔 https://t.co/fybfGwPuf4,Additional Comment,NA,,,,,,
P:1584928692392067072,,,@shalabhmani @DeviSin61134860 @narendramodi सनातन संस्कृति ही विश्व शांति का अधार है।,Additional Comment,NA,,,,,,
P:1584928692392067072,,,"@shalabhmani @narendramodi शुभ दीपावली 🪔
जय सियाराम🙏🚩",Additional Comment,NA,,,,,,
P:1584928692392067072,,,@shalabhmani @narendramodi अरे ये नही बोला की मोदी के बदौलत ही हिंदू पीएम बना हैं अंग्रेज राज़ में,Additional Comment,NA,,,,,,
P:1584928692392067072,,,"@shalabhmani @narendramodi Abey chutiye.. bharat me bhi Christmas day, Eid manayi jati hai.. ise humanity ki nazro se dekho.. bhakt giri se nhi.. baki ho to tm fenku k bhakt hi",Additional Comment,NA,,,,,,
P:1584928692392067072,,,"@shalabhmani @narendramodi वाह क्या बात लिखी,साधुवाद",Additional Comment,NA,,,,,,
P:1584928692392067072,,,"@shalabhmani @narendramodi देश का पुनः सांस्कृतिक उदय हो रहा है , उत्थान हो रहा है । मुझे गर्व है अपने #PMModi जी पर",Additional Comment,NA,,,,,,
P:1584928691372843010,,Ff5Ky6raYAAT3eK.jpg,RT @sureshmadesh: @monica_thapar @SadhguruJV @RishiSunak @narendramodi https://t.co/4eDoecmbhy,Caption,https://t.co/4eDoecmbhy,,,,,,
P:1584928688449413121,,,@narendramodi سارا جهان سے اچها هندوستان همارا,Caption,NA,,,,,,
P:1584928688449413121,,,@narendramodi سارا جهان سے اچها هندوستان همارا,Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi भारत माता की जय ...जय हिंद 🇮🇳🇮🇳,Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi Jai Hind Jai Bharat,Additional Comment,NA,,,,,,
P:1584928688449413121,,,"@narendramodi केजरीवाल जनता को झूठ बोलता फिर रहा।

दिल्ली के स्कूलों में पत्रकारो को सच्चाई दिखाने  से रोका जा रहा है। 

पत्रकार को बैन किया हुआ है।",Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi #NewWayOfLivingOnDiwali https://t.co/YTa9mYlSlP,Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi Namo,Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi Good work modiji,Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi Super,Additional Comment,NA,,,,,,
P:1584928688449413121,,,@narendramodi @BJYMNABADAL 🙏🏼🙏🙏🏼,Additional Comment,NA,,,,,,
