POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584632859964641281,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584631558882852865,,,"@OlcekSerdar @MagnumPhotos @aksaraybel @aksarayedutr @gezginfotodergi @GoTurkiye @NatGeoPhotos @NatGeoTravel @natgeowild @TCKulturTurizm @aksarayiktm 11.000 yıllık medeniyet.
Güzel İnsanlar Diyarı Aksaray.",Caption,NA,,,,,,
P:1584631558882852865,,,"@OlcekSerdar @MagnumPhotos @aksaraybel @aksarayedutr @gezginfotodergi @GoTurkiye @NatGeoPhotos @NatGeoTravel @natgeowild @TCKulturTurizm @aksarayiktm 11.000 yıllık medeniyet.
Güzel İnsanlar Diyarı Aksaray.",Additional Comment,NA,,,,,,
P:1584630675230973952,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584627888368013313,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584626849585369088,,,RT @diecastryan: A Lufthansa A380 departing LAX a few years back. #lufthansa #lax #LosAngeles #airbus #airbuslovers #a380 #aviation #airpla…,Caption,NA,,,,,,
P:1584621040474329088,,,@cemalet74124891 @GoTurkiye @MagnumPhotos @NatGeoPhotos @NatGeoTravel @natgeowild @TatilBudur @NTVKSanat @TCKulturTurizm @aksarayiktm @gezginfotodergi Çok teşekkürler,Caption,NA,,,,,,
P:1584621040474329088,,,@cemalet74124891 @GoTurkiye @MagnumPhotos @NatGeoPhotos @NatGeoTravel @natgeowild @TatilBudur @NTVKSanat @TCKulturTurizm @aksarayiktm @gezginfotodergi Çok teşekkürler,Additional Comment,NA,,,,,,
P:1584621040474329088,,,@OlcekSerdar @GoTurkiye @MagnumPhotos @NatGeoPhotos @NatGeoTravel @natgeowild @TatilBudur @NTVKSanat @TCKulturTurizm @aksarayiktm @gezginfotodergi Çok güzel.Ellerine gözlerine sağlık.,Additional Comment,NA,,,,,,
P:1584615588114010112,,,RT @diecastryan: A Lufthansa A380 departing LAX a few years back. #lufthansa #lax #LosAngeles #airbus #airbuslovers #a380 #aviation #airpla…,Caption,NA,,,,,,
P:1584614522098098176,,,"RT @armst_ed: Top 10 things to know about the Day of the Dead 
""Here’s one thing we know: Día de los Muertos, or #DayoftheDead, is not a #M…",Caption,NA,,,,,,
P:1584614309229105152,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584614098196918272,,,"Top 10 things to know about the Day of the Dead 
""Here’s one thing we know: Día de los Muertos, or #DayoftheDead, is not a #Mexican version of #Halloween.""

Great Read! @ascensionmd
https://t.co/62nTwgD0DJ via @NatGeoTravel",Caption,https://t.co/62nTwgD0DJ via @NatGeoTravel,,,,,,
P:1584612224911699968,,,RT @diecastryan: A Lufthansa A380 departing LAX a few years back. #lufthansa #lax #LosAngeles #airbus #airbuslovers #a380 #aviation #airpla…,Caption,NA,,,,,,
P:1584611039098044417,,,RT @diecastryan: A Lufthansa A380 departing LAX a few years back. #lufthansa #lax #LosAngeles #airbus #airbuslovers #a380 #aviation #airpla…,Caption,NA,,,,,,
