POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1591119391219150848,,,RT @meazaaxum: An upcoming global conference on preventing sexual violence in conflict hosted by Z UK government also provides an opportuni…,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1591119388748697605,,,@RishiSunak Start looking after our ex service men living o  the streets and stop wasting money on illegal immigrants and climate and foreign aid,Caption,NA,,,FALSE,FALSE,Neutral,YES
P:1591119388748697605,,,@RishiSunak So many veterans on the streets homeless. You don’t remember them do you? Only ever self promotion with the @Conservatives and no topic escapes it.,Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1591119388748697605,,,@RishiSunak Welcome home #KhersonisUkraine 🇺🇦❤️ https://t.co/aUaJlaVICh,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1591119388748697605,,,@RishiSunak Whilst trying to forget #ToryCriminalsUnfitToGovern,Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1591119388748697605,,,@RishiSunak Any chance of explaining why you have joined Pesco?,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1591119388748697605,,,"@RishiSunak So don't let the movement they fought and successfully defeated along with civilians &amp; military of USSR, rise again! Don't fight for Nazism! https://t.co/nUaA5PM59V",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1591119388748697605,,,@RishiSunak You couldn’t care less!!,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1591119388748697605,,,"@RishiSunak Remember, why you send them to fight❗
https://t.co/B7LzyfDLkJ",Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1591119388748697605,,,"@RishiSunak Noone’s forgetting, Prime Minister https://t.co/T0BTZ3E9EG",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1591119384168132608,,,RT @RoderickSpode3: .@RishiSunak DO YOUR JOB SUNAK OR THE BRITISH PEOPLE WILL GET SOMEONE ELSE. THAT'S A GUARANTEE!!!! https://t.co/XSGrTiH…,Caption,https://t.co/XSGrTiH…,,,TRUE,TRUE,Negative,YES
