POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587297841331904512,,,@SrBachchan ओम श्री सूर्य देवाय नमः सूर्य नमस्कार करते हुए आदरणीय मेरे प्यार श्री बच्चन सर को मेरा प्यार भरा नमस्कार🙏🌞🌹🌺🌷🙏 good morning my dear sir,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587297593607917568,,,"इसी को ""दिव्य धर्म यज्ञ दिवस"" के रूप में मनाया जा रहा है।
👉अधिक जानकारी के लिए Sant Rampal Ji Maharaj YouTube Channel Visit करें।
@AmitShah @rajnathsingh @PMOIndia @cmohry @aajtak @ABPNews @ZeeNews @msdhoni @imVkohli @SrBachchan @hindu @HinduAmericans @BBC @Dev_Fadnavis",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587297593607917568,,,"इसी को ""दिव्य धर्म यज्ञ दिवस"" के रूप में मनाया जा रहा है।
👉अधिक जानकारी के लिए Sant Rampal Ji Maharaj YouTube Channel Visit करें।
@AmitShah @rajnathsingh @PMOIndia @cmohry @aajtak @ABPNews @ZeeNews @msdhoni @imVkohli @SrBachchan @hindu @HinduAmericans @BBC @Dev_Fadnavis",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587297454793555968,,,"RT @TUKESHWARRAJAK9: #दिव्य_धर्म_यज्ञ_दिवस
परमात्मा कबीर साहिब जी कैसा रूप बनाकर 9 लाख बैलों के ऊपर विशाल भंडारे के लिए समान लात कर लाए थे…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587297443154366464,,Fgc2lyrakAAJJcQ.jpg," @JasbirKapoorEF @allaukhina2 @manishm1942 @GangulySunetra @StLouisgirl123 @MukherjiRatna @Dipanka82446090 @israilbachchan @Partho701 @SandeepKhurana @KalaYadav3 @HemlataArtist @vikasm12345 @addzz8 @Ashabachchan @shivsoham @MaheshBSolanki4 @SohamBoricha_AB @ManojVaid15 @CqZVBx8jExr0F3b @KTundla @king_ajaz786 @Shailes33357760 @SrBachchan @Inga_Polina @pamelaarora @anuradha_raheja @EfvijayKumar @KarabashevaAmi1 @Ravi_AB_EF @yadavsunanda08 @Jitendr40494554 @Queen80169771 @allaukhinaa @AmiraMaly @Gopalbachchan @Chandra69172171 @nileshbodawala @AmarjeetKumar70 @sureshjumani @ArthVaishnav @bigb21bigbshiv @MosesSapir @ruchi_ABEF @Bigbefamily @LilyPittz @SUMAN_KAUR12 #HappyBirthdayAishwaryaRai ji
Wishing you a very happy birthday,
Wish you all the best n family,
#GodBless ❤️🙏💐💐 https://t.co/RSvdjs99Wv",Caption,https://t.co/RSvdjs99Wv,,,FALSE,FALSE,Positive,NO
P:1587297443154366464,,,"@RituRaiSharma5 @ANURADHARAHEJA @JasbirKapoorEF @allaukhina2 @manishm1942 @GangulySunetra @StLouisgirl123 @MukherjiRatna @Dipanka82446090 @israilbachchan @Partho701 @SandeepKhurana @KalaYadav3 @HemlataArtist @vikasm12345 @addzz8 @Ashabachchan @shivsoham @MaheshBSolanki4 @SohamBoricha_AB @ManojVaid15 @CqZVBx8jExr0F3b @KTundla @king_ajaz786 @Shailes33357760 @SrBachchan @Inga_Polina @pamelaarora @anuradha_raheja @EfvijayKumar @KarabashevaAmi1 @Ravi_AB_EF @yadavsunanda08 @Jitendr40494554 @Queen80169771 @allaukhinaa @AmiraMaly @Gopalbachchan @Chandra69172171 @nileshbodawala @AmarjeetKumar70 @sureshjumani @ArthVaishnav @bigb21bigbshiv @MosesSapir @ruchi_ABEF @Bigbefamily @LilyPittz @SUMAN_KAUR12 #HappyBirthdayAishwaryaRai ji
Wishing you a very happy birthday,
Wish you all the best n family,
#GodBless ❤️🙏💐💐 https://t.co/RSvdjs99Wv",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587297443154366464,,,"@JasbirKapoorEF @RituRaiSharma5 @allaukhina2 @manishm1942 @GangulySunetra @StLouisgirl123 @MukherjiRatna @Dipanka82446090 @ANURADHARAHEJA @israilbachchan @Partho701 @SandeepKhurana @KalaYadav3 @HemlataArtist @vikasm12345 @addzz8 @Ashabachchan @shivsoham @MaheshBSolanki4 @SohamBoricha_AB @ManojVaid15 @CqZVBx8jExr0F3b @KTundla @king_ajaz786 @Shailes33357760 @SrBachchan @Inga_Polina @pamelaarora @anuradha_raheja @EfvijayKumar @KarabashevaAmi1 @Ravi_AB_EF @yadavsunanda08 @Jitendr40494554 @Queen80169771 @allaukhinaa @AmiraMaly @Gopalbachchan @Chandra69172171 @nileshbodawala @AmarjeetKumar70 @sureshjumani @ArthVaishnav @bigb21bigbshiv @MosesSapir @ruchi_ABEF @Bigbefamily @LilyPittz @SUMAN_KAUR12 #UniqueConcept #WallmountPhoto #GlowPhotoNFrame without drill on the wall,select da #DesignNPhoto as your like what u want 2 display on the wall🙂

🇺 🇻  ⁿ 🇦 🇨  ｌｉｇｈｔｍｏｄｅ ｓｙｓｔｅｍ

🇬 🇱 🇴 🇼  ⁱⁿ ᵗʰᵉ ᵈᵃʳᵏ

#卄ａｐｐｙ卄ｅｌｌｏｗｗｅｅｎ

☀️#Eｏｎｅ❤️🙏🥳 https://t.co/rBWbgkRXHM",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587297443154366464,,,"@ANURADHARAHEJA @JasbirKapoorEF @BBIIRAJAN_Veeru @RituRaiSharma5 @allaukhina2 @GangulySunetra @StLouisgirl123 @MukherjiRatna @Dipanka82446090 @israilbachchan @Partho701 @SandeepKhurana @KalaYadav3 @HemlataArtist @vikasm12345 @addzz8 @Ashabachchan @shivsoham @MaheshBSolanki4 @SohamBoricha_AB @ManojVaid15 @CqZVBx8jExr0F3b @KTundla @king_ajaz786 @Shailes33357760 @SrBachchan @Inga_Polina @pamelaarora @anuradha_raheja @EfvijayKumar @KarabashevaAmi1 @Ravi_AB_EF @yadavsunanda08 @Jitendr40494554 @Queen80169771 @allaukhinaa @AmiraMaly @Gopalbachchan @Chandra69172171 @nileshbodawala @AmarjeetKumar70 @sureshjumani @ArthVaishnav @bigb21bigbshiv @MosesSapir @ruchi_ABEF @Bigbefamily @LilyPittz @SUMAN_KAUR12 Jai Shree Ram 🙏🙏🌸🌸🚩🚩
Jai Shree Hanuman 🙏🙏🌸🌸🚩🚩",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587297443154366464,,,@manishm1942 @JasbirKapoorEF @BBIIRAJAN_Veeru @RituRaiSharma5 @allaukhina2 @GangulySunetra @StLouisgirl123 @MukherjiRatna @Dipanka82446090 @israilbachchan @Partho701 @SandeepKhurana @KalaYadav3 @HemlataArtist @vikasm12345 @addzz8 @Ashabachchan @shivsoham @MaheshBSolanki4 @SohamBoricha_AB @ManojVaid15 @CqZVBx8jExr0F3b @KTundla @king_ajaz786 @Shailes33357760 @SrBachchan @Inga_Polina @pamelaarora @anuradha_raheja @EfvijayKumar @KarabashevaAmi1 @Ravi_AB_EF @yadavsunanda08 @Jitendr40494554 @Queen80169771 @allaukhinaa @AmiraMaly @Gopalbachchan @Chandra69172171 @nileshbodawala @AmarjeetKumar70 @sureshjumani @ArthVaishnav @bigb21bigbshiv @MosesSapir @ruchi_ABEF @Bigbefamily @LilyPittz @SUMAN_KAUR12 🙏.  Good Morning 📿🅰️®️Everyone https://t.co/eGcyvFNz5n,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587297443154366464,,,@RituRaiSharma5 @JasbirKapoorEF @BBIIRAJAN_Veeru @allaukhina2 @manishm1942 @GangulySunetra @StLouisgirl123 @MukherjiRatna @Dipanka82446090 @israilbachchan @Partho701 @SandeepKhurana @KalaYadav3 @HemlataArtist @vikasm12345 @addzz8 @Ashabachchan @shivsoham @MaheshBSolanki4 @SohamBoricha_AB @ManojVaid15 @CqZVBx8jExr0F3b @KTundla @king_ajaz786 @Shailes33357760 @SrBachchan @Inga_Polina @pamelaarora @anuradha_raheja @EfvijayKumar @KarabashevaAmi1 @Ravi_AB_EF @yadavsunanda08 @Jitendr40494554 @Queen80169771 @allaukhinaa @AmiraMaly @Gopalbachchan @Chandra69172171 @nileshbodawala @AmarjeetKumar70 @sureshjumani @ArthVaishnav @bigb21bigbshiv @MosesSapir @ruchi_ABEF @Bigbefamily @LilyPittz @SUMAN_KAUR12 Happy Birthday 👑🎂💓. https://t.co/JkmFVGirYU,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
