POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587657852235436032,,,"@jain_harshit @shreyacasmalert @tanyyeah @Priyansh_31Dec @tanyarajhans7 @ankushdharkar @akrsh24 @SimranKoul2 Why does it feel like a medal? 😂

Glad I met you and so many others on Twitter though!",Caption,NA,,,,,,
P:1587657852235436032,,,"@jain_harshit @shreyacasmalert @tanyyeah @Priyansh_31Dec @tanyarajhans7 @ankushdharkar @akrsh24 @SimranKoul2 Why does it feel like a medal? 😂

Glad I met you and so many others on Twitter though!",Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit Need to interact with you more now 😀 #fomo,Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit @GergelyOrosz @Abhay_15_Singh @designermaybe @snitin315 Circle 3 gang let's get it! Squad up 😤,Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit @AnthonyCastrio @GergelyOrosz @Abhay_15_Singh @designermaybe @snitin315 Glad to be a part of your circle!🌻,Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit @ankitB90 @chinta_n_vibes @Prathkum @saumya1singh @prannesh_54 @rishikagupta__ @Ayushkagrawal @thesparkvision @akhilx404 @Harshith_V007 @ankitsharma_007 @SBagaria2710 @rohan_webdev @tech_referrals @vaibhav_matere 🤘🤘,Additional Comment,NA,,,,,,
P:1587657852235436032,,,@tanyyeah @tanyarajhans7 @SimranKoul2 Lol 😂,Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit @itsbhavuk @MrHAnand @aymanapatel @mahimaishere @anuraghazru @priyalbhatewara @sandeshjain4 @mehakagrawall @sjsamyak2001 @vibrantachintya @im_parth_24 @siddhesh_kt @BhavishyaP9 @MartandRajputt @rjtkr1 @djdivya27jain @prateekvaidya97 @itsdhruvdp Glad to be in your circle 😁😁,Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit ayee second circle❤️,Additional Comment,NA,,,,,,
P:1587657852235436032,,,"@vaibhav_matere @ankitB90 @chinta_n_vibes @Prathkum @saumya1singh @prannesh_54 @AmanHasNoName_2 @rishikagupta__ @Ayushkagrawal @thesparkvision @akhilx404 @Harshith_V007 @ankitsharma_007 @SBagaria2710 @rohan_webdev @tech_referrals This is how this one works.
https://t.co/15nxp1mFE6 https://t.co/oBNQFauE1O",Additional Comment,NA,,,,,,
P:1587657852235436032,,,@jain_harshit @ankitB90 @chinta_n_vibes @Prathkum @saumya1singh @prannesh_54 @AmanHasNoName_2 @rishikagupta__ @Ayushkagrawal @thesparkvision @akhilx404 @ankitsharma_007 @SBagaria2710 @rohan_webdev @tech_referrals @vaibhav_matere https://t.co/cjXGHPcCaW,Additional Comment,NA,,,,,,
P:1587601087690948610,,,"RT @ashwani_kumar_4: Came across this amazing document created by @tanyarajhans7 🫠

It contains last-minute resources to be seen before int…",Caption,NA,,,,,,
P:1587518037271674880,,,@tanyarajhans7 @archiexzzz Hehehe🤭🤭✌️,Caption,NA,,,,,,
P:1587518037271674880,,,@archiexzzz https://t.co/NF0MPDkkIQ,Additional Comment,NA,,,,,,
P:1587518037271674880,,,@archiexzzz Gotta send you a connection req on linkedin then😂 Drop your liked in below👇 and here's mine https://t.co/EKEtUpsN8c,Additional Comment,NA,,,,,,
P:1587518037271674880,,,@archiexzzz Cool... Tu mera connection aaj se for those IITD kids😎😎😎,Additional Comment,NA,,,,,,
P:1587518037271674880,,,@tanyarajhans7 @archiexzzz Hehehe🤭🤭✌️,Additional Comment,NA,,,,,,
P:1587518037271674880,,,@archiexzzz One reason - @Priyansh_31Dec,Additional Comment,NA,,,,,,
P:1587518037271674880,,,not even joking https://t.co/8RiZ05r7Zg,Additional Comment,NA,,,,,,
P:1587518037271674880,,,@archiexzzz 🫂,Additional Comment,NA,,,,,,
