POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu They will even give him cow of his choice to eat.,Caption,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu They will even give him cow of his choice to eat.,Additional Comment,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu 😂😂😂,Additional Comment,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu jsr bolna padega?,Additional Comment,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu Not in train corridors...only permitted in Mahakal Corridor Ujjain !,Additional Comment,,,,,,,
P:1584059354441211905,,,@Fasih_Ahmed @suhasinih @the_hindu The fuck does that mean?,Additional Comment,,,,,,,
P:1584059354441211905,,,"@Aakar__Patel @suhasinih @the_hindu ""jay sri ram"" slgan compulsory for prnce",Additional Comment,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu Stop Using Twitter 24*7 Aakar,Additional Comment,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu 🤣🤣🤣,Additional Comment,,,,,,,
P:1584059354441211905,,,"@Aakar__Patel @suhasinih @the_hindu Using govt machinery for flowers showering on kavadiya are allowed.
-Amritkaal",Additional Comment,,,,,,,
P:1584059354441211905,,,@Aakar__Patel @suhasinih @the_hindu And nonveg?,Additional Comment,,,,,,,
P:1584059301957898240,,,RT @rravikanthreddy: @RahulGandhi crosses into #Telangana from the bridge on Krishna river at Raichur at 8.55 am. TPCC president @revanth_a…,Caption,,,,,,,
P:1584059228322672640,,,"RT @CHANDER_GUPTA: My #OpenPage piece in @the_hindu today

https://t.co/OHjFim3Kur",Caption,,,,,,,
P:1584059210207494145,,,"RT @VanitaPrasher: @mlkhattar @cmohry @narendramodi क्या वो पारदर्शिता इसी प्रकार की होगी ?#justice_to_upcoming_Justices 
#justice_to_aspir…",Caption,,,,,,,
P:1584059082360516608,,,RT @rravikanthreddy: Congress workers wait on the banks of Krishna river connecting #Karnataka and #Telangana at Raichur to welcome @RahulG…,Caption,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu 😂😂😂,Caption,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu They will even give him cow of his choice to eat.,Additional Comment,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu 😂😂😂,Additional Comment,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu jsr bolna padega?,Additional Comment,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu Not in train corridors...only permitted in Mahakal Corridor Ujjain !,Additional Comment,,,,,,,
P:1584059030800330752,,,@Fasih_Ahmed @suhasinih @the_hindu The fuck does that mean?,Additional Comment,,,,,,,
P:1584059030800330752,,,"@Aakar__Patel @suhasinih @the_hindu ""jay sri ram"" slgan compulsory for prnce",Additional Comment,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu Stop Using Twitter 24*7 Aakar,Additional Comment,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu 🤣🤣🤣,Additional Comment,,,,,,,
P:1584059030800330752,,,"@Aakar__Patel @suhasinih @the_hindu Using govt machinery for flowers showering on kavadiya are allowed.
-Amritkaal",Additional Comment,,,,,,,
P:1584059030800330752,,,@Aakar__Patel @suhasinih @the_hindu And nonveg?,Additional Comment,,,,,,,
P:1584059005865201665,,,"RT @Asharamjiashram: Sant Shri Asharamji Bapu shares that out of all religions &amp; sects in the world, the most &amp; solely joyful festivals are…",Caption,,,,,,,
P:1584058913187827713,,,"RT @nirwamehta: Also, here’s why Siddharth Varadarajan was fired from The Hindu https://t.co/1g74ghmomN",Caption,,,,,,,
P:1584058903737737216,,,"RT @Asharamjiashram: Sant Shri Asharamji Bapu shares that out of all religions &amp; sects in the world, the most &amp; solely joyful festivals are…",Caption,,,,,,,
P:1584058852659859457,,,"RT @ZbigsBujji: Hello @manojmuntashir sir 🙏 
I celebrate the The glory of Lord #SriRam by singing this Slokam #SriRaghavam 🙏🙏
Every Hindu m…",Caption,,,,,,,
P:1584058780538798080,,,@PradhumanGwl @JM_Scindia @BJP4MP @ChouhanShivraj @AmitShah @vdsharmabjp @LokendraParasar @JansamparkMP @PMuralidharRao @HitanandSharma @the_hindu श्रीमान जी पूरी सड़क का चौड़ीकरण हो जाता तो अच्छा होता ।श्रीमान जी कोटेश्वर से घासमंडी किला गेट वाली सड़क का भी कुछ चौड़ीकरण कराये,Caption,,,,,,,
