POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1583978081500286976,,,@ThtKashmiriGuy @prafullaketkar @amritabhinder @KapilMishra_IND @smritiirani Well done 👍,Caption,NA,,,,,,
P:1583978081500286976,,,@ThtKashmiriGuy @prafullaketkar @amritabhinder @KapilMishra_IND @smritiirani Well done 👍,Additional Comment,NA,,,,,,
P:1583978081500286976,,,@ThtKashmiriGuy @prafullaketkar @amritabhinder @KapilMishra_IND @smritiirani Very nyce,Additional Comment,NA,,,,,,
P:1583978051657904128,,,"RT @ThtKashmiriGuy: Indian Army launched a Swift rescue operation in Gurez sector of Kashmir 🍁 to save a precious Life

Operation lasted fo…",Caption,NA,,,,,,
P:1583873315503906817,,,"Hey @KhaledBeydoun look what your uncle is doing...!!!!
@Reuters @nypost @FoxNews @RNCResearch @washingtonpost @smh @TarekFatah @ThtKashmiriGuy @TheDeepak2022  @TajinderBagga https://t.co/9xkY8kia5A",Caption,https://t.co/9xkY8kia5A,,,,,,
P:1583777731820412928,,,"RT @ThtKashmiriGuy: Another Kashmiri Hindu Poran Krishen Bhat shot dead in Kashmir.

Day is not far when you will hear about Kashmiri Pandi…",Caption,NA,,,,,,
P:1583777682080219136,,U9yo9O6e1cpaEFQx.jpg,"RT @ThtKashmiriGuy: Being hindu, has become our crime!! https://t.co/zQrt54io8C",Caption,https://t.co/zQrt54io8C,,,,,,
P:1583777544331223040,,FfW601vakAEjA0Z.jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583741056428158978,,,"Save us 🙏❣️
#BJP jago
#KashmiriPandits 
@Kporgall 
@jammukasmirhc 
@pandits_kashmir 
@BattaKashmiri 
@ThtKashmiriGuy 
@spvaid 
@jammu_tweeter 
@official_Arnab_ 
@sudhirchaudhary 
@PTI_News 
@ANI 
@CNNnews18 
@BBCHindi 
@UN 
@UNICEF 
@TOIIndiaNews 
@GeneralBakshi 
@Tiny_Dhillon https://t.co/gYfiQNFAjx",Caption,https://t.co/gYfiQNFAjx,,,,,,
P:1583722843899994112,,,RT @sawarathiajss: @ThtKashmiriGuy All these wallah allah songs shud be banned frm hindu functions,Caption,NA,,,,,,
P:1583696220350205952,,,RT @hariom5sharma: @ThtKashmiriGuy @himantabiswa 😂😂😂,Caption,NA,,,,,,
P:1583491980662669312,,,@BefittingFacts @ThePollLady @JaipurDialogues @ThtKashmiriGuy @theskindoctor13 @thehawkeyex @iamkamyabuch https://t.co/Snh5ZvAEmv,Caption,https://t.co/Snh5ZvAEmv,,,,,,
P:1583481497356754945,,,"@ThtKashmiriGuy Very very painful to even see this, imagine what happens to those who have actually lost there loved one. Om Shanti.",Caption,NA,,,,,,
P:1583481497356754945,,,"@ThtKashmiriGuy Very very painful to even see this, imagine what happens to those who have actually lost there loved one. Om Shanti.",Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy https://t.co/kl3oJ3hpuk,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy #HindusUnderAttack,Additional Comment,NA,,,,,,
