POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584054616698028032,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054613917208576,,FfuxRRDaEAAxxjC.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/GNp3EpgtbB via NaMo App https://t.co/ru7Sn0syjQ",Caption,https://pbs.twimg.com/media/FfuxRRDaEAAxxjC.jpg,,,,,,
P:1584054613577445381,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054608044752896,,,RT @Narende01589313: @dichicorp @mlkhattar @DC_Gurugram @MCManesar @dtcphry @kMakrandIAS @diprogurugram1 @DiprHaryana @cmohry @nishantyadav…,Caption,,,,,,,
P:1584054585945051136,,,"RT @BombagorerRaja: Digha hosted the Bengal Global Business Summit &amp; is aiming for G20 Meetings in Jan 2023. With the Tajpur Port, Digha Ma…",Caption,,,,,,,
P:1584054568031518720,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054523504766977,,,Varanasi: Four robbers of inter-state gang arrested https://t.co/mGUevcC8gK,Caption,,,,,,,
P:1584054516973916160,,,"RT @ShelarAshish: Spl CBI Court confirms Vaze Vassoli&amp;100 cr/ month extortion was carried out by Uddhavji Govt HM Anil Deshmukh!
This festi…",Caption,,,,,,,
P:1584054511752151044,,,"If the Hindu Kush could speak, they would tell us many stories and reveal many secrets, of those who crossed, and those who died, on its treacherous passes and slopes

@devduttmyth

https://t.co/sD1ouxE8cy",Caption,,,,,,,
P:1584054464293400576,,FfuxIpaVEAAWVi3.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/cdC5nkjPSY via NaMo App https://t.co/y9A7Slciv1",Caption,https://pbs.twimg.com/media/FfuxIpaVEAAWVi3.jpg,,,,,,
