POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587107433909846016,,FgaJyrXXgAUYQfx.jpg,Last night I got the absolutely insane opportunity to see the world premiere of the fully finished Project Iceman made the company I’ve moderated with for the past 4 years @YesTheory Got to meet the co-founder Ammar and star of the documentary Andrés as well :) https://t.co/M8HUZZpJcd,Caption,https://t.co/M8HUZZpJcd,,,,,,
P:1587097916560154624,,FgaALz5UAAMJ0XC.png,"Here we have, the world's most isolated and least populated places on earth.. 50 to be exact! 👀

Pitcairnislands.eth - 15 ETH #ENS  
Dark Secrets of the World’s Most Isolated Island https://t.co/mhFj8djEFZ by @YesTheory https://t.co/hYx6ChyUNj",Caption,https://t.co/hYx6ChyUNj,,,,,,
P:1587077269624856579,,,"@kyshaswordy @YesTheory This is the most exciting part. A whole new generation of creators, previously without connections or funding, now have access to the world stage.

The future of film will (hopefully) be more inclusive.",Caption,NA,,,,,,
P:1587077269624856579,,,"@dannymcmahon Option 3: Both.

Build a brand on social media and/or post your films on YouTube AND go to festivals to network etc",Additional Comment,NA,,,,,,
P:1587077269624856579,,,"@kyshaswordy @YesTheory This is the most exciting part. A whole new generation of creators, previously without connections or funding, now have access to the world stage.

The future of film will (hopefully) be more inclusive.",Additional Comment,NA,,,,,,
P:1587077269624856579,,,@dannymcmahon @YesTheory BUT there is lots of things both industries can learn from each other. And ‘social media’ films could become a great gateway into traditional giving people a way to prove themselves independently,Additional Comment,NA,,,,,,
P:1587077269624856579,,,@dannymcmahon There’s no ‘best route’ at the moment but I think we will see so much more innovative and creative films coming through this new way of distributing content like the way @YesTheory made their new film independently but still on a large scale. Not just Hollywood money grabs.,Additional Comment,NA,,,,,,
P:1587077269624856579,,,"@dannymcmahon Also just remembered. I think Casey Neisat did just this. Had YouTube along with filmmaking with HBO in the past and more recently, the David Dobrik doc was released more traditionally.",Additional Comment,NA,,,,,,
P:1587077269624856579,,,"@dayasdear Find your choice of “seriously” so interesting. Totally agree that’s been the consensus, but idk, I think a shift is on the cards",Additional Comment,NA,,,,,,
P:1587077269624856579,,,@dannymcmahon YouTube for publicity but if you want to be taken seriously then festivals,Additional Comment,NA,,,,,,
P:1587077269624856579,,,"@dannymcmahon YouTube imo. It's all about where you have more creative freedom, and less constraints. When you add factors such as funding etc. feels like an easy decision. But there's no harm in doing both imo.",Additional Comment,NA,,,,,,
P:1587062643528966144,,,@dannymcmahon @YesTheory BUT there is lots of things both industries can learn from each other. And ‘social media’ films could become a great gateway into traditional giving people a way to prove themselves independently,Caption,NA,,,,,,
P:1587062643528966144,,,"@dannymcmahon Option 3: Both.

Build a brand on social media and/or post your films on YouTube AND go to festivals to network etc",Additional Comment,NA,,,,,,
P:1587062643528966144,,,"@kyshaswordy @YesTheory This is the most exciting part. A whole new generation of creators, previously without connections or funding, now have access to the world stage.

The future of film will (hopefully) be more inclusive.",Additional Comment,NA,,,,,,
P:1587062643528966144,,,@dannymcmahon @YesTheory BUT there is lots of things both industries can learn from each other. And ‘social media’ films could become a great gateway into traditional giving people a way to prove themselves independently,Additional Comment,NA,,,,,,
P:1587062643528966144,,,@dannymcmahon There’s no ‘best route’ at the moment but I think we will see so much more innovative and creative films coming through this new way of distributing content like the way @YesTheory made their new film independently but still on a large scale. Not just Hollywood money grabs.,Additional Comment,NA,,,,,,
P:1587062643528966144,,,"@dannymcmahon Also just remembered. I think Casey Neisat did just this. Had YouTube along with filmmaking with HBO in the past and more recently, the David Dobrik doc was released more traditionally.",Additional Comment,NA,,,,,,
P:1587062643528966144,,,"@dayasdear Find your choice of “seriously” so interesting. Totally agree that’s been the consensus, but idk, I think a shift is on the cards",Additional Comment,NA,,,,,,
P:1587062643528966144,,,@dannymcmahon YouTube for publicity but if you want to be taken seriously then festivals,Additional Comment,NA,,,,,,
P:1587062643528966144,,,"@dannymcmahon YouTube imo. It's all about where you have more creative freedom, and less constraints. When you add factors such as funding etc. feels like an easy decision. But there's no harm in doing both imo.",Additional Comment,NA,,,,,,
P:1587061802772357126,,,@dannymcmahon There’s no ‘best route’ at the moment but I think we will see so much more innovative and creative films coming through this new way of distributing content like the way @YesTheory made their new film independently but still on a large scale. Not just Hollywood money grabs.,Caption,NA,,,,,,
P:1587061802772357126,,,"@dannymcmahon Option 3: Both.

Build a brand on social media and/or post your films on YouTube AND go to festivals to network etc",Additional Comment,NA,,,,,,
P:1587061802772357126,,,"@kyshaswordy @YesTheory This is the most exciting part. A whole new generation of creators, previously without connections or funding, now have access to the world stage.

The future of film will (hopefully) be more inclusive.",Additional Comment,NA,,,,,,
P:1587061802772357126,,,@dannymcmahon @YesTheory BUT there is lots of things both industries can learn from each other. And ‘social media’ films could become a great gateway into traditional giving people a way to prove themselves independently,Additional Comment,NA,,,,,,
P:1587061802772357126,,,@dannymcmahon There’s no ‘best route’ at the moment but I think we will see so much more innovative and creative films coming through this new way of distributing content like the way @YesTheory made their new film independently but still on a large scale. Not just Hollywood money grabs.,Additional Comment,NA,,,,,,
P:1587061802772357126,,,"@dannymcmahon Also just remembered. I think Casey Neisat did just this. Had YouTube along with filmmaking with HBO in the past and more recently, the David Dobrik doc was released more traditionally.",Additional Comment,NA,,,,,,
P:1587061802772357126,,,"@dayasdear Find your choice of “seriously” so interesting. Totally agree that’s been the consensus, but idk, I think a shift is on the cards",Additional Comment,NA,,,,,,
P:1587061802772357126,,,@dannymcmahon YouTube for publicity but if you want to be taken seriously then festivals,Additional Comment,NA,,,,,,
P:1587061802772357126,,,"@dannymcmahon YouTube imo. It's all about where you have more creative freedom, and less constraints. When you add factors such as funding etc. feels like an easy decision. But there's no harm in doing both imo.",Additional Comment,NA,,,,,,
P:1586995596359266304,,,"“Strangers are just friends that you haven’t met yet” 
@YesTheory",Caption,NA,,,,,,
P:1586946134404222976,,,"1. Dark Secrets of the World’s Most Isolated Island
https://t.co/NvL2glBMf2

#yestheory #seekdiscomfort #yestheorystrangers #yestheorytravel #yestheorysubscribers #gettingoutofyourcomfortzone #AmazonFBA",Caption,"https://t.co/NvL2glBMf2

#yestheory #seekdiscomfort #yestheorystrangers #yestheorytravel #yestheorysubscribers #gettingoutofyourcomfortzone #AmazonFBA",,,,,,
P:1586946134404222976,,,"25. Myth's Bad Ending | Hololive fan-animation
https://t.co/ykkeSaFApX

#Mazumaro #Animation #hololive #ameliawatson #gawrgura #moricalliope #takanashikiara #ninomaeina'nis",Additional Comment,NA,,,,,,
P:1586946134404222976,,,"24. Bowser’s Fury but every Shine makes Mario STRONGER...
https://t.co/T1tPmzETQM

#mario #challenge #funny #manxninjapig #odyssey #smo #mods #modded #moon #powermoon #mod #lostkingdoms #manx #marioost #marioseries #supermario #funnymariovideos #mariomemes #animatedmario",Additional Comment,NA,,,,,,
P:1586946134404222976,,,"23. Today I make history.
https://t.co/FZEoVfZb6c

#jakepaul",Additional Comment,NA,,,,,,
P:1586946134404222976,,,"22. The First ""Open World"" Pokemon Game
https://t.co/3Sm8oQEXfZ

#pointcrow #pointcrow #pointcrowpokemon #pointcrowpokemon #pokemon #pkmn #pokewilds #pokewildsgameplay #gameplay #walkthrough #gaming #nintendo #openworldpokemon #pokemonscarletandviolet #scarletandviolet #mod",Additional Comment,NA,,,,,,
