POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587294464498077697,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294427504119808,,,"RT @Ritesh_Dreams: @akshaykumar @BoroplusSkin Sir we want big scale action movies from you and also comedy movies like herapheri 3, we just…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294401478660096,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294384420442112,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294383161847808,,,RT @DoctorAshu07: @akshaykumar @BoroplusSkin We Want Rowdy Rathore 2,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294380498485248,,,"RT @Akshay_Trigger: @akshaykumar @BoroplusSkin Good morning guruji 
Rowdy Rathore 2 kab release ho rahi",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587294368859389953,,,RT @ccdx_2: @akshaykumar @BoroplusSkin Change your PR and strategy too🙏🏻,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294363805224962,,,"RT @Ritesh_Dreams: @akshaykumar @BoroplusSkin Please change your PR sir, your actual PR team are good for nothing, please hire someone more…",Caption,NA,,,FALSE,FALSE,Neutral,YES
P:1587294332151042048,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294311259197441,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294307857440770,,,RT @DoctorAshu07: @akshaykumar @BoroplusSkin We Want Rowdy Rathore 2,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294292393037825,,,@vinayakdewda @akshaykumar @BoroplusSkin Bhai Selfiee chalegi,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294292393037825,,,@vinayakdewda @akshaykumar @BoroplusSkin Bhai Selfiee chalegi,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587294292393037825,,,@akshaykumar @BoroplusSkin Love you guruji ❤️,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587294292393037825,,,@akshaykumar @BoroplusSkin ♥️♥️,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587294292393037825,,,@akshaykumar @BoroplusSkin https://t.co/WjwtbBKDks,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587294292393037825,,,@akshaykumar @BoroplusSkin Awesome cool effort brave Sir respect from #Pakistan,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587294292393037825,,,"@akshaykumar @BoroplusSkin Sir aapse sadar anurodh hai mai bahut musibat me fas gya hun plz ek chhoti si help kr do
Mai bahut pareshan hun koi rashta nhi dikh rha ab aap hi mujhe is muaibat se bcha sakte hai sir",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587294292393037825,,,@akshaykumar @BoroplusSkin Ramsetu achhi movie hai sir.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587294292393037825,,,"@akshaykumar @BoroplusSkin Love you sir
We want action movies maza aayega https://t.co/vQD8daq6UI",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587294292393037825,,,@akshaykumar @BoroplusSkin Itne log Morbi me mar gaye..ek tweet unke liye bhi kar dete...paise ke pujari,Additional Comment,NA,,,TRUE,FALSE,Negative,YES
P:1587294292393037825,,,@akshaykumar @BoroplusSkin AKKIANS WANT BIG ACTION MOVIES FROM UH NOW 💥💥 KUCH TOH FANS KA SOCHLO SARKAR 🙏🙏,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587294287196467201,,FgawaTXakAAKUni.jpg,"RT @THISISTHELRP: Ramsetu ki Advance booking aaj se jayada kal😍
ATP kam hone ke baad bhi🔥
#RamSetu #AkshayKumar https://t.co/BYPJH9hiPe",Caption,https://t.co/BYPJH9hiPe,,,FALSE,FALSE,Neutral,NO
P:1587294239091662848,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294208934584320,,,"RT @akshaykumar: Presenting to you BoroPlus - India's no. 1 Antiseptic Cream - my twin, the OG all-rounder and the multi-tasker. It takes c…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294197094428672,,,"RT @akki_dhoni: The hate Akshay kumar getting this days is little unfair. He is so convincing in Ram Setu.

#AkshayKumar #RamSetu
#RamSetuB…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587294184716771330,,06jxHDORgUpK1d-C.jpg,"RT @AkkiAmit_: #RamSetu movie It is a perfect Diwali gift 🔥

#AkshayKumar https://t.co/vWAND4i3s7",Caption,https://t.co/vWAND4i3s7,,,FALSE,FALSE,Positive,NO
P:1587294173790556160,,,"RT @Akkhiladi12: Fanwaar Se Kisika Bhala Nai Hone Wala . 
Sabhi Ek Dusre Ko Support kare , Aaplog South Industries ko dekh lo Sabhi milkar…",Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587294173014773760,,w8Wbts4WykFVl4r5.jpg,"RT @AkkiAmit_: #RamSetu public review first day first show at gaiety galaxy theatre.

Khiladi #AkshayKumar is back 🔥 https://t.co/mLW8NuG242",Caption,https://t.co/mLW8NuG242,,,FALSE,FALSE,Positive,NO
P:1587294154756874240,,,"RT @AkkiAmit_: #RamSetu movie huge public line day 3 late evening show at gaiety galaxy theatre in Mumbai 🔥

#AkshayKumar https://t.co/BmEr…",Caption,https://t.co/BmEr…,,,FALSE,FALSE,Positive,NO
P:1587294139367841792,,,@madho_singh03 @akshaykumar @yamigautam OMG 2 ka budget boi (60-80)+ 25 +15 kara ga,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587294139367841792,,,@madho_singh03 @akshaykumar @yamigautam OMG 2 ka budget boi (60-80)+ 25 +15 kara ga,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587294139367841792,,,@madho_singh03 @akshaykumar @yamigautam 2016 ka bad akki ka vi same issue hai https://t.co/Im0PLTwxzX,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
