POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584639336104210432,,Ff2ngjqVEAAPZPn.jpg,RT @NVEquinePatroit: @BarackObama https://t.co/8EsyYuP7JR,Caption,https://t.co/8EsyYuP7JR,,,FALSE,FALSE,Neutral,NO
P:1584639310175031296,,,@BarackObama Sweet commercial 😂.Pres Obama is still the coolest Pres ever.But his VP is making historical changes.Americans are more receptive when an older white man brings Black women to the forefront and it’s the greatest thing to do.Pres O was scrutinised at every turn. VOTE BLUE,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639310175031296,,,@amvetsupport @DoncoDnutz @BarackObama Tell that to the people who became homeless while bankers got richer. Tell that to the city of Flint who he told that the water was fixed. Tell that to people who are terrified of going to the hospital for fear of total ruin.,Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1584639310175031296,,,@BarackObama Sweet commercial 😂.Pres Obama is still the coolest Pres ever.But his VP is making historical changes.Americans are more receptive when an older white man brings Black women to the forefront and it’s the greatest thing to do.Pres O was scrutinised at every turn. VOTE BLUE,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639310175031296,,,@BarackObama Hypocrite! You still have not denounce your JCPOA! You had 8 years to do the right thing! The only thing you care about is seeing your Nuclear deal with Mullahs reinstated and that’s because they pay you through their lobbies in US such as @NIACouncil! VOTE REPUBLICANS https://t.co/46LRrleMfb,Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1584639310175031296,,,@shredhead89 @BarackObama Agree to disagree.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,"@BarackObama Shameless of you sir , You Guys aren’t fooling anyone, all that benign neglect remember that",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,@BarackObama https://t.co/Y2DV6YhHAo,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639310175031296,,,@BarackObama https://t.co/ltb365MK4r,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639310175031296,,,@BarackObama What a fucking clown!  😂😂😂😂🤡🤡🤡🤡🤡🤡,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,"@RevDrJob @DoncoDnutz @BarackObama Agree to disagree.  Obama was a decent human being who was president.  Followed by a lying, corrupt, traitor.",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,@BarackObama Brilliant!,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama 🤣🤣🤣🤣,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama Hilarious that you take his support as a good thing.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639308052328448,,,@ReverendWarnock @BarackObama 🤣🤣🤣🤣,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639308052328448,,,@ReverendWarnock @BarackObama The kiss of death!,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama Panic time....,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama 🔥🍑💙✊🏾,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama Hey Barack guess you don't care about his past?,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,"@ReverendWarnock @BarackObama Kiss of death. Bye bye ""reverend.""",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama https://t.co/17lb08QE2L,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama These two do not love their countrymen,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama His endorsing you pretty much assures a Walker victory.,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639305980719105,,,"RT @ACampaNajjar: Great reconnecting with my old boss, @BarackObama while he was in town! Still inspired by his unifying call for hope and…",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639298498105344,,NdRRXxVPJoHmK36c.jpg,"RT @ReverendWarnock: Thanks for the support, @BarackObama. https://t.co/UXTYe9Qnb2",Caption,https://t.co/UXTYe9Qnb2,,,FALSE,FALSE,Neutral,NO
