POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584639336104210432,,Ff2ngjqVEAAPZPn.jpg,RT @NVEquinePatroit: @BarackObama https://t.co/8EsyYuP7JR,Caption,https://t.co/8EsyYuP7JR,,,FALSE,FALSE,Neutral,NO
P:1584639310175031296,,,@BarackObama Sweet commercial ðŸ˜‚.Pres Obama is still the coolest Pres ever.But his VP is making historical changes.Americans are more receptive when an older white man brings Black women to the forefront and itâ€™s the greatest thing to do.Pres O was scrutinised at every turn. VOTE BLUE,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639310175031296,,,@amvetsupport @DoncoDnutz @BarackObama Tell that to the people who became homeless while bankers got richer. Tell that to the city of Flint who he told that the water was fixed. Tell that to people who are terrified of going to the hospital for fear of total ruin.,Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1584639310175031296,,,@BarackObama Sweet commercial ðŸ˜‚.Pres Obama is still the coolest Pres ever.But his VP is making historical changes.Americans are more receptive when an older white man brings Black women to the forefront and itâ€™s the greatest thing to do.Pres O was scrutinised at every turn. VOTE BLUE,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639310175031296,,,@BarackObama Hypocrite! You still have not denounce your JCPOA! You had 8 years to do the right thing! The only thing you care about is seeing your Nuclear deal with Mullahs reinstated and thatâ€™s because they pay you through their lobbies in US such as @NIACouncil! VOTE REPUBLICANS https://t.co/46LRrleMfb,Additional Comment,NA,,,FALSE,TRUE,Negative,YES
P:1584639310175031296,,,@shredhead89 @BarackObama Agree to disagree.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,"@BarackObama Shameless of you sir , You Guys arenâ€™t fooling anyone, all that benign neglect remember that",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,@BarackObama https://t.co/Y2DV6YhHAo,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639310175031296,,,@BarackObama https://t.co/ltb365MK4r,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639310175031296,,,@BarackObama What a fucking clown!  ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ¤¡ðŸ¤¡ðŸ¤¡ðŸ¤¡ðŸ¤¡ðŸ¤¡,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,"@RevDrJob @DoncoDnutz @BarackObama Agree to disagree.  Obama was a decent human being who was president.  Followed by a lying, corrupt, traitor.",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639310175031296,,,@BarackObama Brilliant!,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama Hilarious that you take his support as a good thing.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639308052328448,,,@ReverendWarnock @BarackObama ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639308052328448,,,@ReverendWarnock @BarackObama The kiss of death!,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama Panic time....,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama ðŸ”¥ðŸ‘ðŸ’™âœŠðŸ¾,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama Hey Barack guess you don't care about his past?,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,"@ReverendWarnock @BarackObama Kiss of death. Bye bye ""reverend.""",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama https://t.co/17lb08QE2L,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama These two do not love their countrymen,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639308052328448,,,@ReverendWarnock @BarackObama His endorsing you pretty much assures a Walker victory.,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639305980719105,,,"RT @ACampaNajjar: Great reconnecting with my old boss, @BarackObama while he was in town! Still inspired by his unifying call for hope andâ€¦",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639298498105344,,NdRRXxVPJoHmK36c.jpg,"RT @ReverendWarnock: Thanks for the support, @BarackObama. https://t.co/UXTYe9Qnb2",Caption,https://t.co/UXTYe9Qnb2,,,FALSE,FALSE,Neutral,NO
P:1584639296509972480,,,"RT @Pajarakija: @BarackObama Hey look, Barack Obama mentioned $THE",Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @instantwynner @katiehobbs @BarackObama Too bad she doesn't endorse him getting equal pay.,Caption,NA,,,TRUE,TRUE,Negative,YES
P:1584639285310803968,,,@azfamily @instantwynner @katiehobbs @BarackObama Too bad she doesn't endorse him getting equal pay.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639285310803968,,,"@OlePops1 @RealWaynerC @drdianebrennan @azfamily @katiehobbs @BarackObama https://t.co/w5LKblz1mi

Not this guy just repeating conspiracy theories. It's honestly sad that you have to resort to lies, although not surprising considering you're a Maga-Tard. I'm a clown yet you support lies, ðŸ¤¡ðŸ¤¡",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@AuntCakkieRN @azfamily @katiehobbs @BarackObama Mindless zombies,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama Thatâ€™s all I needed to know,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama So??,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama Vote RED,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama Cathy Hobbs is afraid to debate kristie lake â€¦. Chicken ðŸ”ðŸ”ðŸ”ðŸ”,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama https://t.co/cvu4Wf4Mao,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama Pair of losers,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639285310803968,,,@azfamily @katiehobbs @BarackObama Second worst president on illegal immigration ever!,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639251727396866,,,"RT @Kentgram: @BarackObama Dudeâ€¦. Reproductive rights is code for agreeing to the murder of a baby growing in the Motherâ€™s womb.
Is this whâ€¦",Caption,NA,,,TRUE,TRUE,Negative,YES
P:1584639219762614272,,Ff3E7DTX0AA19Hv.png,"@KamalaHarris @VP @BarackObama @JoeBiden @POTUS @USAenEspanol @LaCasaBlanca @USembassyMadrid @SecBlinken @ABlinken @StateDeptSpox @StateDept @ForeignPressCtr @DemsEspanol @HouseDemocrats @SenateDems @TheDemocrats @RepAdamSchiff @HillaryClinton @SpeakerPelosi (05)

Once upon a time ... the New World Order #DoomsdayClock 
. https://t.co/AerzAP0mVd",Caption,https://t.co/AerzAP0mVd,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,"@KamalaHarris Cackling Kamala!  Yes, Vote Red and vote early!",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@KamalaHarris https://t.co/k2lSbrMDDo,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@DebbieHemenway @davel2v @KamalaHarris As a Jewish person I would never vote for a Democrat but I also won't vote republican either cause that's just the same thing as voting Dem. Both sides hate us and have proven that multiple times.,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@KamalaHarris I will voting Republican,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@KamalaHarris And #VoteRedtoSaveAmerica,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,"@KamalaHarris Yes, too bad itâ€™s not for a new VP",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@KamalaHarris Red,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@LilHulkQ @KamalaHarris ðŸ¤¡ https://t.co/3GOgvsWRaR,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639219762614272,,,@KamalaHarris Yeah.. Vote to get all you useless Dems OUT!!!!!!!,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639219762614272,,,"@KamalaHarris Democrats stand for abortion, homosexuality, same sex marriage, transgender, open border, riots, looting, property damage, attacking police, defunding police, reckless spending, raising taxes, inflation, fentanyl deaths, soft on crime, releasing criminals...I'll vote republican.",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639196270333952,,,Certo che @BarackObama per essere un premio Nobel per la pace ne ha combinate un po' #presadiretta,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639195683131392,,,RT @JeffMerkley: What @BarackObama said. @TinaKotek is the real deal. Vote Tina Kotek for Oregon's next Governor!,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1584639190599290880,,,RT @TalonyaAdams: Of all the #KatieHobbs sympathizers the endorsement of @BarackObama is the greatest disappointment. Partisanship aside noâ€¦,Caption,NA,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,Ff3E64GaMAAAV_3.jpg,@BarackObama Hypocrite! You still have not denounce your JCPOA! You had 8 years to do the right thing! The only thing you care about is seeing your Nuclear deal with Mullahs reinstated and thatâ€™s because they pay you through their lobbies in US such as @NIACouncil! VOTE REPUBLICANS https://t.co/46LRrleMfb,Caption,https://t.co/46LRrleMfb,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,,@amvetsupport @DoncoDnutz @BarackObama Tell that to the people who became homeless while bankers got richer. Tell that to the city of Flint who he told that the water was fixed. Tell that to people who are terrified of going to the hospital for fear of total ruin.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,,@BarackObama Sweet commercial ðŸ˜‚.Pres Obama is still the coolest Pres ever.But his VP is making historical changes.Americans are more receptive when an older white man brings Black women to the forefront and itâ€™s the greatest thing to do.Pres O was scrutinised at every turn. VOTE BLUE,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639167304466432,,,@BarackObama Hypocrite! You still have not denounce your JCPOA! You had 8 years to do the right thing! The only thing you care about is seeing your Nuclear deal with Mullahs reinstated and thatâ€™s because they pay you through their lobbies in US such as @NIACouncil! VOTE REPUBLICANS https://t.co/46LRrleMfb,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,,@shredhead89 @BarackObama Agree to disagree.,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639167304466432,,,"@BarackObama Shameless of you sir , You Guys arenâ€™t fooling anyone, all that benign neglect remember that",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,,@BarackObama https://t.co/Y2DV6YhHAo,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639167304466432,,,@BarackObama https://t.co/ltb365MK4r,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639167304466432,,,@BarackObama What a fucking clown!  ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ¤¡ðŸ¤¡ðŸ¤¡ðŸ¤¡ðŸ¤¡ðŸ¤¡,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,,"@RevDrJob @DoncoDnutz @BarackObama Agree to disagree.  Obama was a decent human being who was president.  Followed by a lying, corrupt, traitor.",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639167304466432,,,@BarackObama Brilliant!,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639162371956736,,,@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Lord Prince Obama canâ€™t even help you Katie girl .Sooooooorrrryyyyy,Caption,NA,,,TRUE,TRUE,Negative,YES
P:1584639162371956736,,,@OlavAamodt @TalonyaAdams @KariLake @BarackObama @katiehobbs Donâ€™t let it happen in Arizona,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1584639162371956736,,,@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Lord Prince Obama canâ€™t even help you Katie girl .Sooooooorrrryyyyy,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639162371956736,,,@TalonyaAdams @DelRayAZ @BarackObama @katiehobbs Send to gateway pundit. @mirandadevine,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639162371956736,,,@TalonyaAdams @BarackObama @katiehobbs Itâ€™s really on par with everything about him. Heâ€™s never done anything to help the black community and this move is just consistent with that.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639162371956736,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs One might be tempted to conclude that Obama is more interested in his party having power than in supporting moral and upstanding leaders.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639162371956736,,,"@Free_Speech_1A @TalonyaAdams @KariLake @BarackObama @katiehobbs Obama's corrupt friend almost beat DeSantis by cheating, but luckily he was exposed and the whole would saw his true colors.",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639162371956736,,,"@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Nothing says democracy like wide open borders allowing as many illegal aliens in as possible ,, Ummmmmmm ehhhhh",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639162371956736,,,"@TalonyaAdams @KariLake @BarackObama @katiehobbs You are not, of course, surprised that the racehustler in chief did this. 

Racial division is Barack Hussein O's deal.",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639162371956736,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs https://t.co/uHHPJ9rr4A,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639162371956736,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs What Obama is saying is that Kari Lake is a threat to the Democracy. Of course these kinds of accusations and lies are never documented or supported with examples.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639161444638720,,,@TalonyaAdams @DelRayAZ @BarackObama @katiehobbs Send to gateway pundit. @mirandadevine,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@OlavAamodt @TalonyaAdams @KariLake @BarackObama @katiehobbs Donâ€™t let it happen in Arizona,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Lord Prince Obama canâ€™t even help you Katie girl .Sooooooorrrryyyyy,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@TalonyaAdams @DelRayAZ @BarackObama @katiehobbs Send to gateway pundit. @mirandadevine,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@TalonyaAdams @BarackObama @katiehobbs Itâ€™s really on par with everything about him. Heâ€™s never done anything to help the black community and this move is just consistent with that.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs One might be tempted to conclude that Obama is more interested in his party having power than in supporting moral and upstanding leaders.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,"@Free_Speech_1A @TalonyaAdams @KariLake @BarackObama @katiehobbs Obama's corrupt friend almost beat DeSantis by cheating, but luckily he was exposed and the whole would saw his true colors.",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,"@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Nothing says democracy like wide open borders allowing as many illegal aliens in as possible ,, Ummmmmmm ehhhhh",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,"@TalonyaAdams @KariLake @BarackObama @katiehobbs You are not, of course, surprised that the racehustler in chief did this. 

Racial division is Barack Hussein O's deal.",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs https://t.co/uHHPJ9rr4A,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639161444638720,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs What Obama is saying is that Kari Lake is a threat to the Democracy. Of course these kinds of accusations and lies are never documented or supported with examples.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@Shannoncreech74 @staceyabrams @BarackObama Lol,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@Shannoncreech74 @staceyabrams @BarackObama Lol,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,"@Jasonisliberty @staceyabrams @BarackObama I would help you; that's why I #VoteBlue ðŸ’™
I am Pro People not forced birth!",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@staceyabrams @BarackObama https://t.co/zo91Cluzud,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@victoriabaxley @staceyabrams @BarackObama We aren't in a democracy we are a representative republic.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@staceyabrams @BarackObama Skunks hang out together and don't notice how bad each other stink,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@staceyabrams @BarackObama ðŸ–•ðŸ¿,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@staceyabrams @BarackObama Why would voting early make someone win? That sounds seriously fishy or corrupt. Youâ€™re going to lose by at least 10 points.,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,"@staceyabrams @BarackObama When you vote early you win?
Like stealing the election?
Guess who gets in trouble next year? 
Yours truly, Stacey A.",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639160278978561,,,@staceyabrams @BarackObama Slob.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639160278978561,,,@imaproudliberal @staceyabrams @DeniseBalistre1 @BarackObama The most decisive President ever!!!,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639158508982272,,,RT @_FUNKYDX_: @ThatMan_Dave @diisearned @VickyGirlboss @MF_CRINGEalt @LolzSky_ @Chewyquantum8 @SnowManSnowPlan @Stealth14447620 @DistortBoâ€¦,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639141043503105,,,@TalonyaAdams @BarackObama @katiehobbs Itâ€™s really on par with everything about him. Heâ€™s never done anything to help the black community and this move is just consistent with that.,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639141043503105,,,@OlavAamodt @TalonyaAdams @KariLake @BarackObama @katiehobbs Donâ€™t let it happen in Arizona,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639141043503105,,,@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Lord Prince Obama canâ€™t even help you Katie girl .Sooooooorrrryyyyy,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639141043503105,,,@TalonyaAdams @DelRayAZ @BarackObama @katiehobbs Send to gateway pundit. @mirandadevine,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639141043503105,,,@TalonyaAdams @BarackObama @katiehobbs Itâ€™s really on par with everything about him. Heâ€™s never done anything to help the black community and this move is just consistent with that.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639141043503105,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs One might be tempted to conclude that Obama is more interested in his party having power than in supporting moral and upstanding leaders.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639141043503105,,,"@Free_Speech_1A @TalonyaAdams @KariLake @BarackObama @katiehobbs Obama's corrupt friend almost beat DeSantis by cheating, but luckily he was exposed and the whole would saw his true colors.",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639141043503105,,,"@TalonyaAdams @KariLakeWarRoom @BarackObama @katiehobbs Nothing says democracy like wide open borders allowing as many illegal aliens in as possible ,, Ummmmmmm ehhhhh",Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639141043503105,,,"@TalonyaAdams @KariLake @BarackObama @katiehobbs You are not, of course, surprised that the racehustler in chief did this. 

Racial division is Barack Hussein O's deal.",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639141043503105,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs https://t.co/uHHPJ9rr4A,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1584639141043503105,,,@TalonyaAdams @KariLake @BarackObama @katiehobbs What Obama is saying is that Kari Lake is a threat to the Democracy. Of course these kinds of accusations and lies are never documented or supported with examples.,Additional Comment,NA,,,TRUE,TRUE,Negative,YES
P:1584639138640248832,,,RT @TalonyaAdams: Of all the #KatieHobbs sympathizers the endorsement of @BarackObama is the greatest disappointment. Partisanship aside noâ€¦,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1584639133066366976,,,RT @TalonyaAdams: Of all the #KatieHobbs sympathizers the endorsement of @BarackObama is the greatest disappointment. Partisanship aside noâ€¦,Caption,NA,,,FALSE,FALSE,Positive,NO
