POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1587287433925705728,,,"Now is an #opportunity to own real physical #assets from ""83"" Movie along with snippets from the movie. Re live your ""cricket"" ""dream"" #phygital #nfts #NFTIndia #NonFungibleTokens #web3 #metaverse
Launching Soon !!!! at https://t.co/7TFotUG4ax @akshayaNFT 
https://t.co/KIezlGh79K https://t.co/4iVLRjtrTX",Caption,https://t.co/4iVLRjtrTX,,,FALSE,FALSE,Neutral,NO
P:1587287425532895237,,FgctfAtacAEvJKj.jpg,"I bet you can not scroll down without liking this pic. 

@imVkohli 🐐💙 https://t.co/T7IvvwirLy",Caption,https://t.co/T7IvvwirLy,,,FALSE,FALSE,Positive,NO
P:1587287406755336193,,jhmb9nfO5N_iOznj.jpg,"@imVkohli is the world's best batsman 
Nobody can replace him.... If you are the true fans of #ViratKohli𓃵 retweet and like ❤ 
#T20WorldCup2022 #India #IndianCricketTeam https://t.co/KHsYNyye8z",Caption,https://t.co/KHsYNyye8z,,,FALSE,FALSE,Positive,NO
P:1587287401172385792,,,@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld Wonderful art❤️❤️hope virat will recognise😍,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587287401172385792,,,@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld Wonderful art❤️❤️hope virat will recognise😍,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287401172385792,,,@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld https://t.co/DiGdmulzPe,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287401172385792,,,@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld Great job brother 👍,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287401172385792,,,@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld Please made one for #BabarAzam𓃵 and #imrankhanPTI,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287401172385792,,,"@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld Kaash virat Kohli apny official page per upload krdy, Ameen 🥺🥺",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287401172385792,,,@mr_lovely47 @imVkohli @ViratGang @TeamVirat @Cricketracker @cricketpakcompk @BBCSport @BBCWorld You really deserve appreciation @mr_lovely47 👍,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287397447999488,,Ff08ISvVQAEghiR.jpg,"RT @Trend_VKohli: The Craze of Virat Kohli is unreal. 
@imVkohli

#ViratKohli | #ViratKohli𓃵 | #T20WorldCup
https://t.co/jJLKwqon6s",Caption,https://t.co/jJLKwqon6s,,,FALSE,FALSE,Positive,NO
P:1587287379999883265,,Ff08ISvVQAEghiR (1).jpg,"RT @Cricketracker: Cute ☺️

@imVkohli | #T20WorldCup2022 | #T20WorldCup 

https://t.co/VGINzdRtYS",Caption,https://t.co/VGINzdRtYS,,,FALSE,FALSE,Positive,NO
P:1587287378086879233,,FgYwVzsUcAAbvd_.jpg,RT @imVkohli: Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,Caption,https://t.co/1leNe0jN8L,,,FALSE,FALSE,Neutral,NO
P:1587287356981145600,,02dOLrEQlE9foJgc.jpg,RT @VkGnana: Advance Happy birthday anna @imVkohli ❤️ https://t.co/HndStukfEg,Caption,https://t.co/HndStukfEg,,,FALSE,FALSE,Positive,NO
P:1587287353709809665,,FgYwVzsUcAAbvd_ (1).jpg,RT @imVkohli: Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,Caption,https://t.co/1leNe0jN8L,,,FALSE,FALSE,Neutral,NO
P:1587287322445238274,,,RT @mdsirajofficial: Brothers 🇮🇳 #Adelaide,Caption,NA,,,FALSE,FALSE,Neutral,NO
P:1587287302606245888,,Ff08ISvVQAEghiR (2).jpg,"RT @Cricketracker: Cute ☺️

@imVkohli | #T20WorldCup2022 | #T20WorldCup 

https://t.co/VGINzdRtYS",Caption,https://t.co/VGINzdRtYS,,,FALSE,FALSE,Positive,NO
P:1587287279122644993,,FgYwVzsUcAAbvd_ (2).jpg,RT @imVkohli: Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,Caption,https://t.co/1leNe0jN8L,,,FALSE,FALSE,Neutral,NO
P:1587287269345755136,,FgYwVzsUcAAbvd_ (3).jpg,RT @imVkohli: Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,Caption,https://t.co/1leNe0jN8L,,,FALSE,FALSE,Neutral,NO
P:1587287255214800897,,atsMsf4x4AjaUrE0.jpg,"I'm not your couch
I'm a your Fan 
suggestion is not a right word
I'm just asking you
can team works on Ground fielding
thrwdown practice 
Save some precious Runs

@BCCI @imVkohli @yuzi_chahal @mdsirajofficial @RishabhPant17 @ashwinravi99 @klrahul @surya_14kumar @hardikpandya7 https://t.co/ivzNU3vGFz",Caption,https://t.co/ivzNU3vGFz,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,FgctWDfXoAAhRks.jpg,@fastcummer_ @Jiten03190559 @tahirmushtaq225 @umran_malik_01 @imVkohli https://t.co/RfhpRvAsYc,Caption,https://t.co/RfhpRvAsYc,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,@fastcummer_ @Jiten03190559 @tahirmushtaq225 @umran_malik_01 @imVkohli https://t.co/RfhpRvAsYc,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,"@Masoomazehraa @umran_malik_01 @imVkohli Hello ji😂😂
https://t.co/nAq1Uflwy6",Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287253730082816,,,@AbDeVil76339519 @umran_malik_01 @imVkohli 🤣🤣🤣👍🏽👍🏽🙏,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287253730082816,,,"@Jiten03190559 @Shahabjadoong @tahirmushtaq225 @umran_malik_01 @imVkohli Forgot 1965, 71 and kargil? Haha, lol https://t.co/vlDqYs9T8c",Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,@Masoomazehraa @umran_malik_01 @imVkohli Lol he got called for team India,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,@Shahabjadoong @fastcummer_ @tahirmushtaq225 @umran_malik_01 @imVkohli https://t.co/q54DpQdP7n,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,@AbDeVil76339519 @umran_malik_01 @imVkohli In gold of diamond we search the lost would be best,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,@AbDeVil76339519 @umran_malik_01 @imVkohli 🤣🤣🤣,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287253730082816,,,@AbDeVil76339519 @umran_malik_01 @imVkohli Rt,Additional Comment,NA,,,FALSE,FALSE,Neutral,NO
P:1587287253730082816,,,@AbDeVil76339519 @umran_malik_01 @imVkohli 😂😂😂😂,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287232527810561,,FgVCDHKUoAAGt3G.jpg,RT @imVkohli: Tough day today but we focus on the next one. ✌️🇮🇳 https://t.co/REJKpvx82y,Caption,https://t.co/REJKpvx82y,,,FALSE,FALSE,Positive,NO
P:1587287225934680064,,,RT @surya_14kumar: 💪😊,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587287224034684928,,,@im_Ritoj @imVkohli Good morning Bhai ❤️,Caption,NA,,,FALSE,FALSE,Positive,NO
P:1587287224034684928,,,@im_Ritoj @imVkohli Good morning Bhai ❤️,Additional Comment,NA,,,FALSE,FALSE,Positive,NO
P:1587287219022467072,,FgYwVzsUcAAbvd_ (4).jpg,RT @imVkohli: Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,Caption,https://t.co/1leNe0jN8L,,,FALSE,FALSE,Neutral,NO
P:1587287191902117888,,#NAME?,"King kohli cover drive six 😮😮 

@imVkohli #ViratKohli𓃵 #ViratKohli #Virat #ViratKohliroom #T20WC2022 #T20WorldCup2022 #BCCI https://t.co/iyZntVlv43",Caption,https://t.co/iyZntVlv43,,,FALSE,FALSE,Positive,NO
P:1587287128928833536,,Ff08ISvVQAEghiR (3).jpg,"RT @Cricketracker: Cute ☺️

@imVkohli | #T20WorldCup2022 | #T20WorldCup 

https://t.co/VGINzdRtYS",Caption,https://t.co/VGINzdRtYS,,,FALSE,FALSE,Positive,NO
P:1587287127204986880,,,@_imperfect_vinu @RVCJ_FB @imVkohli Han tbhi Messi or Rolando k bad isi ka naam ata h most fan following me,Caption,NA,,,FALSE,FALSE,Neutral,NO
