POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1622330602350321664,,,"@priyankgarg4 I am glad I had oncampus season , to provide me good offers",Caption,,,,,,,
P:1621893273156743169,,,Mastering flawless mirror selfie is tougher than mastering DSA 🥶,Caption,,,,,,,
P:1621889458886017025,,,@divyanshcpp Yes once you have collected 6000 points,Caption,,,,,,,
P:1621868761212153856,,,@iOmKumar03 Iiest,Caption,,,,,,,
P:1621821819555840008,,,@itsr_kumar Us,Caption,,,,,,,
P:1621811105357250566,,,@_MrPrashant_ Nothing as such,Caption,,,,,,,
P:1621809599438553089,,,"@_MrPrashant_ Nhi bhai, it’s only point based",Caption,,,,,,,
P:1621807677658783745,,,"I still don’t have  LeetCode t-shirt, will the tech society accept me?🥲Everyone around me seems to have one",Caption,,,,,,,
P:1621806770942545921,,,"@Priyansh_31Dec The first case yes , I landed my first internship in that way",Caption,,,,,,,
P:1621575195571154945,,,@ArnabSen1729 This method is asking for &gt;24 hours a day,Caption,,,,,,,
P:1621546526236631041,,,My biggest regret in life is choosing a college where you have to your 8th semester inspite of having an internship 🥲😩😩Workload stonking 😕,Caption,,,,,,,
P:1621416492020695040,,,@Iampatelajeet This is world wide statistics,Caption,,,,,,,
P:1621380931339849728,,,@tuhinnn_py True. I don’t know why people become so extreme in their views. One moment they elevate some company to… https://t.co/dtv9Ofxr8x,Caption,,,,,,,
P:1621223605001670656,,,Why the hell was ChatGPT not available during online sems 🥲,Caption,,,,,,,
P:1621222458065055744,,,@UshmitaDutta_11 @striver_79 @GantavyaMalviya @arsh_goyal @rite2riddhi @saumya1singh I guess cost of training is ju… https://t.co/5lEnmX4pbG,Caption,,,,,,,
P:1621205784691609601,,,@SamM01011998 40% at some point of their life did an engineering course,Caption,,,,,,,
P:1621183669779181568,,,Just read somewhere 40% of the billionaires are engineers 😳 that’s a huge number,Caption,,,,,,,
P:1621176474157056001,,,@Abhishe15234863 The point here is I still have many things to discuss about my project before I jump onto the next… https://t.co/UHSQnqmifS,Caption,,,,,,,
P:1621173139886706690,,,"@Abhishe15234863 In the initial weeks, you will be micromanaged as you are working in a team project before you take up ownership",Caption,,,,,,,
P:1621026323148963841,,,The best part is when your manager is on leave and you get a leave unofficially 😌,Caption,,,,,,,
P:1620861907858239489,,,@TiyaTwts Well the code works 🤡,Caption,,,,,,,
P:1620861742581690368,,,@ashwani_kumar_4 Getting your offer revoked is wayyyy more painful,Caption,,,,,,,
P:1620827090940735489,,Fn5VpNkaYAAv8vy.jpg,☠️WTF https://t.co/u2gyp3XQVp,Caption,https://pbs.twimg.com/media/Fn5VpNkaYAAv8vy.jpg,,,,,,
P:1620728422283771906,,,@SunnyA71410266 Even if you have no one negotiates for freshers,Caption,,,,,,,
P:1620716067747430401,,,@archiexzzz 🥲,Caption,,,,,,,
P:1620705731820531713,,,@JanviTh110302 They are hiring interns not FTE this is a important point to note and they are not obliged to give them FTE offers,Caption,,,,,,,
P:1620694247442878465,,,@Hyprocus It’s codechef 🤡😂,Caption,,,,,,,
P:1620681165295480832,,,@TiyaTwts Instagram story picture quality,Caption,,,,,,,
P:1620672377918210049,,,"The worst thing about being a fresher is that you can’t negotiate in most cases, you just have to accept what is offered to you 😕",Caption,,,,,,,
P:1620669968273801217,,,"@Hyprocus It does believe me it does, the peer environment, the culture matters",Caption,,,,,,,
P:1620520169490763777,,,"@Hyprocus No, waise hi time kam ha",Caption,,,,,,,
P:1620444566720765953,,,"Previously, I struggled remembering important tasks unless I started writing them down. Now, I find myself lazy 🙂",Caption,,,,,,,
P:1620430400131825665,,,@callmepandey No i just want to be rich,Caption,,,,,,,
P:1620312148634378240,,,@sanskar_shree 😂🥲,Caption,,,,,,,
P:1620140632659607552,,,"I am too dependent on ChatGPT now🫠 if it disappears tomorrow, I am retiring",Caption,,,,,,,
P:1620090500387840000,,,@callmepandey Another “US” moment 😂😂,Caption,,,,,,,
P:1620086800793616384,,,@callmepandey 5’ 7 iska matlab,Caption,,,,,,,
P:1620050693557194753,,,@AdityaJxMe Itna bhi intelligent nhi ha woh,Caption,,,,,,,
P:1620034429392678912,,FnuEuMgaAAAyZV5.jpg,Lol 😂🥲 https://t.co/Gixs0El3xK,Caption,https://pbs.twimg.com/media/FnuEuMgaAAAyZV5.jpg,,,,,,
P:1620031730186080257,,,@YashDaga24 @callmepandey Savage,Caption,,,,,,,
P:1620027344080769025,,,"@callmepandey If I get your slot, I will be safe",Caption,,,,,,,
P:1620026441814671365,,,@Shrini092 Network issues,Caption,,,,,,,
P:1619999035737407493,,,"Online Coding Round and Train Journey timings clashed, what should I do now 🥲😭",Caption,,,,,,,
P:1619393839172812800,,Fnk-DjGagAEyg2o.jpg,"Got promoted to USACO Gold !
Attempted it for the first time 😅 https://t.co/1ezZRAJpQY",Caption,https://pbs.twimg.com/media/Fnk-DjGagAEyg2o.jpg,,,,,,
P:1619354396432941057,,,Convincing my friends for a trip is more difficult than convincing my parents 🥲,Caption,,,,,,,
P:1619252587995488257,,,How did January pass by so quickly 🤯,Caption,,,,,,,
P:1618947227736768513,,,@archiexzzz Let’s start our own company 🔥,Caption,,,,,,,
P:1618888197320368128,,,@Priyankarpal It will change the requirements of the job that’s it,Caption,,,,,,,
P:1618843433246035968,,,@TiyaTwts Roadmap do for the conversion,Caption,,,,,,,
P:1618697517507518464,,,@keshav951 I restarted my phone lol,Caption,,,,,,,
P:1618684798901587968,,,"The ownership you get while working in startups &gt;&gt;&gt;&gt;&gt;&gt;
Imagine getting the onus to drive the project on behalf of the team",Caption,,,,,,,
P:1618666549770084352,,,@prakriti24_ True,Caption,,,,,,,
P:1618621597828644864,,,"They say ""Universe gives you what you can handle"", does that mean I can't handle 7 Sundays a week?",Caption,,,,,,,
P:1618564027701153794,,,@lakkshya_s Iye bhi ha 🙂,Caption,,,,,,,
P:1618340629662298115,,,"@TiyaTwts @ykdojo But if you don’t know the answer you don’t get through either , it’s always a balance between the 2",Caption,,,,,,,
P:1618340336904073217,,,@arunima_barik Glad I didn’t give the contest today,Caption,,,,,,,
P:1618289886536269824,,,"@tanyyeah Gosh , doesn’t your eyes hurt",Caption,,,,,,,
P:1618213194081931265,,,Me not making memories in college so that they don’t haunt me back when I graduate,Caption,,,,,,,
P:1617958518656757760,,,@Bove_Labbar But if they are like theory questions you can do it,Caption,,,,,,,
P:1617952273216475139,,,@prajapatipk00 If you avail the paid version it is guaranteed to work at that time,Caption,,,,,,,
P:1617951284262494208,,,That day is not far when you ask ChatGPT the question asked in your tech interview and you end up acing the tech interview ☠️🙃,Caption,,,,,,,
P:1617863736727056386,,,@Subhadeep291007 @smriti_tomar Amr barir pase,Caption,,,,,,,
P:1617852948423512064,,,@MydAravind No it is 🥺,Caption,,,,,,,
P:1617852785646784513,,,@GauravSharan09 385,Caption,,,,,,,
P:1617850865779638272,,,@TiyaTwts I live with my parents ☠️,Caption,,,,,,,
P:1617847032450011137,,,@Avijit_avK @smriti_tomar Kolkata aja sab sasta ha idhar,Caption,,,,,,,
P:1617846984303611906,,,It has been 4 months since I had my favourite dish. I guess I am getting better in self-control💪,Caption,,,,,,,
P:1617826664322592774,,,@Pranaffff @smriti_tomar Nhi tab 50 rs me ho jata lol,Caption,,,,,,,
P:1617823367461212160,,,@SunnyA71410266 @smriti_tomar Usme toh sirf haircut ata ha,Caption,,,,,,,
P:1617820420035706880,,,@ohgodbijlee Both,Caption,,,,,,,
P:1617808376561553409,,,@smriti_tomar I do full body massage + haircut in 200 rs,Caption,,,,,,,
P:1617749910190960642,,,@TiyaTwts Then you give interview sitting in the class☠️,Caption,,,,,,,
P:1617567523175817216,,,@Hyprocus @KnowmY__name Blank signed cheque books,Caption,,,,,,,
P:1617512269214285828,,,I just love the fact how interns are treated as kids and are pampered 💫,Caption,,,,,,,
P:1617474840549785600,,,@prakriti24_ @awwmishaaa Me too but I don’t care,Caption,,,,,,,
P:1617473091323719681,,,"@ddmasterdon It tells headcount should be 150,000 not 150,000 layoffs so current employees - 150,000 layoffs",Caption,,,,,,,
P:1617463636821422082,,,@eshaan540 @RajanPatadiya1 For your information that TCI sent Google a similar letter in Nov 2022 and we know what… https://t.co/UTYKjoD9By,Caption,,,,,,,
P:1617448615286566914,,,"@ddmasterdon Read the letter again carefully it doesn’t mention about 1,50,000 layoffs",Caption,,,,,,,
P:1617439505593798658,,,@sauravpathak45 I hope the best for you,Caption,,,,,,,
P:1617413157915611136,,,"With the current situation of layoffs and rescinding offers, how valid is placement cell's one-offer rule in various colleges?",Caption,,,,,,,
P:1617395364038070276,,,@callmepandey Meanwhile me Sunday chal raha ha soch ke late utha aur attendance dene me late ho gaya,Caption,,,,,,,
P:1617247746863562752,,,@eshaan540 Hoping so,Caption,,,,,,,
P:1617236170383163392,,,"@AnuvabSen10 So, you see this happening headcount back to 150,000?",Caption,,,,,,,
P:1617235946533183489,,,"@Hustler052199 That means around 50k more will be laid off providing that google has around 2,20,000 employees now",Caption,,,,,,,
P:1617235327474864128,,,"@Hustler052199 No it says the number of google employees should be around 150,000",Caption,,,,,,,
P:1617234524123058176,,FnGSOUeaEAEe2rX.jpg,"What the hell did I find out from LinkedIn, this is indeed scary if this is true 🥲🥲 https://t.co/hWx1jxmY0G",Caption,https://pbs.twimg.com/media/FnGSOUeaEAEe2rX.jpg,,,,,,
P:1617228769462489089,,,@sreeharijayara2 @NeelShetty6 They mostly host their repos on their own cloud services,Caption,,,,,,,
P:1617226956424237057,,,"@sreeharijayara2 @NeelShetty6 No , Mncs don’t have their repos on GitHub",Caption,,,,,,,
P:1617220462739881986,,,@NeelShetty6 I mostly code for my internship work which is done on their repo,Caption,,,,,,,
P:1617219052216422400,,,Opened Github after over a year 🫠Am I even a developer?🙃,Caption,,,,,,,
P:1617149221601423360,,,@__hi__manshu @manvendra__03 6 abs banana tha,Caption,,,,,,,
P:1617131206788927488,,,@thatKajuKatli True AF,Caption,,,,,,,
P:1617121258877128706,,,@_MrPrashant_ No I am not overwriting working for 15-20 years in top MNCs does helps you accumulate that amount of… https://t.co/GnhgSWt0sN,Caption,,,,,,,
P:1617101310905679872,,,@_MrPrashant_ Getting laid off with 5 crores in your bank and getting laid off while struggling for survival bears… https://t.co/WCwnHc64Kp,Caption,,,,,,,
P:1617094300457914373,,,@_MrPrashant_ I told more painful,Caption,,,,,,,
P:1617092658308214785,,,Getting laid off as a fresher is much more painful than getting laid off after working for 15-20 years is what I fe… https://t.co/LXNeKLs8L2,Caption,,,,,,,
P:1617087120379883521,,,@mehul_bisht 😂,Caption,,,,,,,
P:1617051157016477696,,,@manvendra__03 Hausla rakho,Caption,,,,,,,
P:1617051015366443009,,,@Hyprocus Situation bahut zada bura ha,Caption,,,,,,,
P:1617050928162689024,,,@tanyarajhans7 😂,Caption,,,,,,,
P:1617047016131166208,,,@KajalJaiz18 Sab clg me same story😂,Caption,,,,,,,
P:1617042671079657473,,,"First year juniors putting on their WhatsApp status “ishq pehla zeher ha duniya ka jise pikar bhi aram mile”

Bhai… https://t.co/DkrK9x2bnm",Caption,,,,,,,
P:1617026820586745862,,,@the_harsh_raj 😂,Caption,,,,,,,
P:1616879642555854848,,,@priyankgarg4 I thought it is free☠️,Caption,,,,,,,
P:1616841058985598976,,,@anshu_raj7 Us,Caption,,,,,,,
P:1616782670482255874,,,Am I the only one who used to think in childhood Cr in bank statements stands for Crores🤣😂,Caption,,,,,,,
P:1616704809759047681,,,@Hyprocus Us,Caption,,,,,,,
P:1616695245349220354,,,"@vibinbaburajan Well Apple hasn’t fired so far, looks like they did the most sensible thing",Caption,,,,,,,
P:1616667260894208000,,Fm-OPrDaUAA5W_R.png,An example of how it works https://t.co/c1ogm6Jd8r,Caption,https://pbs.twimg.com/media/Fm-OPrDaUAA5W_R.png,,,,,,
P:1616663230667198464,,,"Now, you can use ChatGPT to auto generate long answers required in a job application like “Why do you fit for this… https://t.co/p0fFU6nsvi",Caption,,,,,,,
P:1616525667675541504,,,@GauravSharan09 They opened a new office to sit there and discuss whom to fire ☠️,Caption,,,,,,,
P:1616521779346034688,,Fm8JzH6aMAACjEA.png,"2020 - Flatten the Covid Graph
2023 - Flatten the Layoffs Graph
🥲 https://t.co/L5R4zi9QIa",Caption,https://pbs.twimg.com/media/Fm8JzH6aMAACjEA.png,,,,,,
P:1616513734838726657,,,@Bove_Labbar 🤔,Caption,,,,,,,
P:1616491943298756609,,,I haven't seen any Quant Firm or HFT firing till now. Can we say they don't overhire and do sensible hiring?,Caption,,,,,,,
P:1616482117894176768,,,@__debarshi 😂,Caption,,,,,,,
P:1616478104809263104,,,@opp_en_heimer I have 141 only,Caption,,,,,,,
P:1616464470955692036,,,Boat Airdopes battery life is literally shit,Caption,,,,,,,
P:1616446278417907713,,,"Recently I was invited to a podcast with 
@call_me_abhinav , discussed some interesting things there, go check it o… https://t.co/R6yCcvi1BO",Caption,,,,,,,
P:1616372691325550592,,,@YajasSardana Just use time blocking method😉,Caption,,,,,,,
P:1616370197144940544,,,Everyone's around talking about enjoying your college life instead of doing a last-semester internship. But who sai… https://t.co/Z0RMT3gwpA,Caption,,,,,,,
P:1616317417243967488,,,@dcqUA80B1PQmazo Was so tired yesterday that I just dozed off and woke up after 13 hours,Caption,,,,,,,
P:1616314557227749380,,,Satisfaction after sleeping 13 hours 😌&gt;&gt;&gt;&gt;&gt;,Caption,,,,,,,
P:1616070380208427008,,,"As a startup founder, what will you focus more on - profitability or scalability ?",Caption,,,,,,,
P:1615761736128417794,,,@aksingh_2000 Bed pe hi sara kam karne me maza ata ha bro😏,Caption,,,,,,,
P:1615750109186359297,,,@SunnyA71410266 Yes,Caption,,,,,,,
P:1615712183413002241,,,Working from your bed in winters &gt;&gt;&gt;&gt;&gt; working from your desk,Caption,,,,,,,
P:1615261797099147266,,,"Before: Before you ask a question google it, you will come up with a better question 

Now: Before you ask a questi… https://t.co/eIZnC18y3A",Caption,,,,,,,
P:1615228377576927232,,,@avi_natani @Iampatelajeet I did my whole DSA in python and still doing it😛,Caption,,,,,,,
P:1615226486629490688,,,@Aman_21_25 I am using Java since high school days but still it is making me cry 😢,Caption,,,,,,,
P:1615220700826206208,,,Java codebase can make you cry 😖,Caption,,,,,,,
P:1615058374491766784,,,@TiyaTwts 🥲,Caption,,,,,,,
P:1615051856467865600,,,People have mid-life crisis and I am having quarter-life crisis before tomorrow’s ppt🙂,Caption,,,,,,,
P:1615036456782954502,,,@TiyaTwts Being in TCS is better than being unemployed I guess,Caption,,,,,,,
P:1615032449360351233,,,@phani_chundru_ Damn this is super useful,Caption,,,,,,,
P:1615030940249780224,,,@phani_chundru_ But how you schedule it,Caption,,,,,,,
P:1615007979312644099,,,"@TiyaTwts Tcs is about to hire some 1.5 lakh folks I heard , not sure though",Caption,,,,,,,
P:1615001286285336577,,,@G_ttishaa Woh already ata ha ☠️,Caption,,,,,,,
P:1614999543426453505,,,"@sagbit_ No, just want to automate some messages I have to send daily at a specific time",Caption,,,,,,,
P:1614998400377982976,,,Why there is no scheduled message system in whatsapp 🥲,Caption,,,,,,,
P:1614910981167271936,,,@TanviSaxena18 Look for internet access,Caption,,,,,,,
P:1614900419003830274,,,@Humble__Fool @VibaliJoshi IIEST,Caption,,,,,,,
P:1614883598053822464,,,"@jain_harshit No, due to space constraint",Caption,,,,,,,
P:1614870195381891081,,,@VibaliJoshi Through gsuite?,Caption,,,,,,,
P:1614866497020792838,,,Is Grammarly Premium worth it?,Caption,,,,,,,
P:1614667164207964161,,,Rushing the process messes up the whole process,Caption,,,,,,,
P:1614641954641571840,,,@JeetUmat It hits different everytime I stay out of station for more than a day,Caption,,,,,,,
P:1614552299770359809,,,@vikramaditya_12 Nothing 😂me just being awkward,Caption,,,,,,,
P:1614290769728409601,,,@MrStark_20 No lies detected 😂,Caption,,,,,,,
P:1614239958138769410,,,@OnkarOjha4 Nhi aur bhi log ha 😂,Caption,,,,,,,
P:1614235533869486080,,FmbqpylagAAixAP.jpg,Peace lies here ☮️ https://t.co/3PBLSDBAh6,Caption,https://pbs.twimg.com/media/FmbqpylagAAixAP.jpg,,,,,,
P:1614225046284947456,,,@RitamGh16 Mousuni Islands,Caption,,,,,,,
P:1614194896533098496,,FmbFrIhaYAAFNfp.jpg,Countrysides are bliss ❤️❤️ https://t.co/qjzGfI2Aae,Caption,https://pbs.twimg.com/media/FmbFrIhaYAAFNfp.jpg,,,,,,
P:1614072622127681537,,,@TiyaTwts 😥,Caption,,,,,,,
P:1613972555190370304,,,People used to go to big tech like FAANGM inspite of startups paying higher for the stability of their jobs. I gues… https://t.co/6lsMLZc7Mw,Caption,,,,,,,
P:1613965997983305728,,,"@sunnykgupta Was quite informative, though I was in for like 10 mins",Caption,,,,,,,
P:1613955729521790976,,,@TiyaTwts Neend nhi aa raha socha kuch tweet kar du 🤡,Caption,,,,,,,
P:1613953187509325824,,,Night before a trip is always restless😴,Caption,,,,,,,
P:1613868191704580096,,,@TiyaTwts @samitkapoorr Mera toh kafi jaldi ho gaya tha,Caption,,,,,,,
P:1613751361363116033,,,@adititiwari02 True,Caption,,,,,,,
P:1613618093011660800,,,@TiyaTwts I know some out of the world legends ☠️,Caption,,,,,,,
P:1613610523760955402,,,"Kids: Asking for referrals from current employees

Legends: Asking for referrals from the CEO of the company ☠️☠️",Caption,,,,,,,
