POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584086843548610561,,,@thewire_in Wire is the Pakistan of journalism. Beg money for survival while diverting the donation in nefarious ac… https://t.co/3OL1FJxEb6,Caption,,,,,,,
P:1584085830754107393,,6cT7SqKFZZw-bNG2.jpg,RT @_ahania: 60 yr old Maulana is arrested for raping a 10 yr old Hindu girl. https://t.co/sQIGgSp6m2,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583854125133213696/pu/img/6cT7SqKFZZw-bNG2.jpg,,,,,,
P:1584085209321914368,,010VLtLYZaUvg2VN.jpg,"Did Congress leader @Dr_Uditraj just called Baba Sahab Ambedakar a thief ????  

 https://t.co/S33Yv5IWIP",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1584051085567631360/pu/img/010VLtLYZaUvg2VN.jpg,,,,,,
P:1583878338568863744,,FfsQ84KVEAAZ1A5.jpg,"Total Central Govt jobs are 41 Lakhs. 
Congress spoki says that 1.2 Crore positions are vacant.
Wonder why is he pe… https://t.co/lEDk4Q801l",Caption,https://pbs.twimg.com/media/FfsQ84KVEAAZ1A5.jpg,,,,,,
P:1583877909025939457,,3pSvzw0bqlSNeNjx.jpg,Blasted a Congress Spokesperson on national TV https://t.co/6soWW1ewNd,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583877738464583681/pu/img/3pSvzw0bqlSNeNjx.jpg,,,,,,
P:1583873787229278208,,,"Amit Shah with his organizational skill strengthen BJP, making it a pan-India party while Rahul Gandhi having a sim… https://t.co/orBgJL6WIh",Caption,,,,,,,
P:1583864683957989377,,,@ruchikokcha Silver ETF,Caption,,,,,,,
P:1583806602175746048,,,@kishanreddybjp @narendramodi @PMOIndia @PiyushGoyal @PIB_India @PIBHyderabad @PBNS_India @ddyadagirinews Conscious… https://t.co/QQFrifqCWk,Caption,,,,,,,
P:1583804982528479233,,FfnnwxtagAEdNZw.png,RT @BesuraTaansane: Odd day 🍗 🥩                      Even day 😇 https://t.co/aMnqloCcet,Caption,https://pbs.twimg.com/media/FfnnwxtagAEdNZw.png,,,,,,
P:1583792062901932032,,,RT @IndiaTVHindi: #Muqabla | रोजगार पर टीएमसी प्रवक्ता  #SwayamPrakashPurohit ने कहा-'इस सरकार के दौरान बेरोजगारी और महंगाई बढ़ी है' देखिए…,Caption,,,,,,,
P:1583790430189424640,,,@Rajasthan_PYC @RahulGandhi @keshavyadaviyc @LambaAlka @NayakRagini @SupriyaShrinate @RamlaljatINC @AnumaVidisha… https://t.co/d3EDyrXyZc,Caption,,,,,,,
P:1583788625934036993,,,Some leader develop grass-root organisations which wins elections and some busy in developing abs https://t.co/Djjy34er7J,Caption,,,,,,,
P:1583742674536140805,,,"RT @CJBdingo25: https://t.co/QVtRirker4

All organisations doing work in #Pakistan should do basic due diligence. 

Al-Khidmat Foundation (…",Caption,,,,,,,
P:1583741519986819073,,,@arabicatrader NIFTY all set for 20000 in the new Samvat,Caption,,,,,,,
P:1583740771664302080,,A7THwBLAbZCQHChT.jpg,RT @IamAjaySehrawat: जब आपका CM केजरीवाल हो #CrackersBan https://t.co/bHdtQrVaMe,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583519315571412995/pu/img/A7THwBLAbZCQHChT.jpg,,,,,,
P:1583737533900673024,,_6lQQyiPmOOsIk2I.jpg,"Hey @Jairam_Ramesh, when you sending a legal notice to Pakistan ?? https://t.co/hd83yWz9iy",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583737010455707654/pu/img/_6lQQyiPmOOsIk2I.jpg,,,,,,
P:1583735069755445248,,,"ગુજરાત માં AAP ને 150 સીટ મળશે
પણ બીજા દિવસે પાછી લઇ જશુ !

- કાળુભાઈ મંડપ-ખુરશી વાળા",Caption,,,,,,,
P:1583734716704129027,,,"""जब गद्दारों की टोली में हाहाकार हो तो समझ लो देश का राजा चरित्रवान और प्रतिभा संपन्न है और राष्ट्र प्रगति पथ पर अग्रसर है""",Caption,,,,,,,
P:1583725134157737985,,FfqFnFcVEAIRZ1w.jpg,Funding Terror outfits like Hamas https://t.co/Mv7FgCr6FQ,Caption,https://pbs.twimg.com/media/FfqFnFcVEAIRZ1w.jpg,,,,,,
P:1583704821944946688,,30_BBnj5LEW2piiL.jpg,UPA govt under the leadership of Dr Manmohan Singh &amp; Sonia Gandhi has almost decided to give LIFE pension to the sl… https://t.co/v1cpVfv55b,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583704527928426497/pu/img/30_BBnj5LEW2piiL.jpg,,,,,,
P:1583696474277568514,,,"@msisodia दिल्ली के शिक्षा मंत्री को इतना भी पता नहीं कि धन्वन्तरि देवी नहीं, देवता हैं जो समुद्र मंथन के समय प्रकट हुए थे।",Caption,,,,,,,
P:1583676281371078656,,,Your Diwali party proceeds will go to Pakistan based Organization Al-khidmat which is a frontal organisation of man… https://t.co/l0cW6Vr7nC,Caption,,,,,,,
P:1583503402578812935,,Ffm78mpVIAgsW3l.jpg,Unsheathed hatred makes a person public clown https://t.co/c3ydkkwyYo,Caption,https://pbs.twimg.com/media/Ffm78mpVIAgsW3l.jpg,,,,,,
P:1583476844070076417,,,And difference of maturity is 50 years !!,Caption,,,,,,,
P:1583411988377788416,,,"Gentle Reminder : 
The age difference between Youth Icon Rahul Gandhi &amp; Amit Shah is just 5 years",Caption,,,,,,,
P:1583411393008926720,,Jg1lAEpgn6tBY1TK.jpg,"@Jairam_Ramesh @INCIndia Damage is done.

Your Senior leader and Ex Home Minister Shivraj Patil says Shri Krishna t… https://t.co/EqyNeVNdYp",Caption,https://pbs.twimg.com/amplify_video_thumb/1583132087086743560/img/Jg1lAEpgn6tBY1TK.jpg,,,,,,
P:1583410004987908097,,,"PM Modi knows how to set a narrative.

His saffron-robed attire at Kedarnath is a bait to the Congress ecosystem. T… https://t.co/Udmb3y52c2",Caption,,,,,,,
P:1583332373948952576,,PNZf2ungng5KT3BZ.jpg,This is the “All weather road” to Badrinath &amp; Kedarnath. https://t.co/xRVZ9X7KOk,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583332320555110401/pu/img/PNZf2ungng5KT3BZ.jpg,,,,,,
P:1583329769722384385,,,"RT @ndtv: 'For politics, you must have fire in your belly. I don't think he (Rahul Gandhi) has that fire': Natwar Singh to NDTV http://t.co…",Caption,,,,,,,
P:1583325938917736448,,,"@kaushikcbasu 20% Food Inflation under Oxford Economist PM &amp; CEA Kaushik Basu.

His role as CEA played an integral… https://t.co/sOshEfwZBA",Caption,,,,,,,
P:1583301671865634817,,FfkEeQxVsAAH3pH.jpg,Two days back this article by PB Mehta and today there is two full pages advt by Chinese agents in Indian Express https://t.co/bjfr2dS9kV,Caption,https://pbs.twimg.com/media/FfkEeQxVsAAH3pH.jpg,,,,,,
P:1583284008011452417,,6ANwFfiI-p0dIiQ1.jpg,"ग़ज़ब बेइज्जती हुई है खड़गे जी की 😂🔥

 https://t.co/sHJOAGBTOk",Caption,https://pbs.twimg.com/amplify_video_thumb/1583160276417118209/img/6ANwFfiI-p0dIiQ1.jpg,,,,,,
P:1583144012856586240,,Ffh1FBgUAAAj4RR.jpg,Ouch …..  🔥😂 https://t.co/I4T7bPSbqB,Caption,https://pbs.twimg.com/media/Ffh1FBgUAAAj4RR.jpg,,,,,,
P:1583143528800333824,,Ffh0pNjaMAA_snO.jpg,This will hurt many 😂🔥 https://t.co/SwZnVRTCA6,Caption,https://pbs.twimg.com/media/Ffh0pNjaMAA_snO.jpg,,,,,,
P:1583137798189903877,,FfhvNFmaMAEeZ7l.png,A cartoon by @satishacharya https://t.co/mXRJp5uKLq,Caption,https://pbs.twimg.com/media/FfhvNFmaMAEeZ7l.png,,,,,,
P:1583137122302951425,,FfhuZLoaUAAT9vO.png,The Lokayukta report says that Congress president Mallikarjuna Kharge is worth Rs 50000 crore https://t.co/5e5Mp17Af3,Caption,https://pbs.twimg.com/media/FfhuZLoaUAAT9vO.png,,,,,,
P:1583134086386053127,,FfhruiIakAA9PtJ.png,The Grand Old Party is Proof that even Losers can be made National President and bigger loser become PM candidate https://t.co/sl0gul1cno,Caption,https://pbs.twimg.com/media/FfhruiIakAA9PtJ.png,,,,,,
P:1583130331687055360,,Ffhne2FacAAsilr.png,How many of you know that BJP MP Dr. Umesh Jadav defeated Congress President Mallikarjun Kharge by 1 lakh votes in… https://t.co/2MwqKEsfYH,Caption,https://pbs.twimg.com/media/Ffhne2FacAAsilr.png,,,,,,
P:1583127883924799490,,x8ptvY76sjlQgIf6.jpg,"@INCIndia @RahulGandhi Reminds me this 

https://t.co/u1Btti2w7g",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1574385218688950272/pu/img/x8ptvY76sjlQgIf6.jpg,,,,,,
P:1583124991209779200,,FfhjqaqacAEEigt.jpg,Meanwhile in Great Britain https://t.co/EtDayo8o9B,Caption,https://pbs.twimg.com/media/FfhjqaqacAEEigt.jpg,,,,,,
P:1583124605325414400,,,"@PChidambaram_IN 2013 saw a 25% Rupee depreciation in one single year under an Economist PM.

Today the same ppl ar… https://t.co/u0Kyls9pvH",Caption,,,,,,,
P:1583115238378913793,,,@ActivistSandeep यह कैसी दीवानगी है की लोग वोट और किसी को दे देते है,Caption,,,,,,,
P:1583098154378878977,,,RT @rishibagree: @_garrywalia जिन जिन भिखारी को मोदी से 15 लाख नहीं मिल रहे है. कृपया वो सभी कश्मीर मे आतंकवादी बन कर सेना के हाथो शाहिद हो…,Caption,,,,,,,
P:1583097981821104128,,OEmAQZuNLpSd3qDP.jpg,@_garrywalia जिन जिन भिखारी को मोदी से 15 लाख नहीं मिल रहे है. कृपया वो सभी कश्मीर मे आतंकवादी बन कर सेना के हाथो… https://t.co/UsttrPeoyB,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1078071151635632129/pu/img/OEmAQZuNLpSd3qDP.jpg,,,,,,
P:1583070944138235904,,,"In a bid to get better prices for the produce, Punjab farmers sell paddy in Haryana mandis as they are getting almost 30% higher prices",Caption,,,,,,,
P:1583069643732029442,,,"Time for Seat Prediction/projections for 2022 Gujarat Assembly Polls ??

Your views, insight &amp; suggestions are welc… https://t.co/30l0ytZQj7",Caption,,,,,,,
P:1583061565292437504,,,@SudhanshuTrived जी आपको जन्मदिन की हार्दिक बधाई एवं शुभकामनाएं।,Caption,,,,,,,
P:1583059942130388992,,,Good evening @PChidambaram_IN https://t.co/kQw0Ti3GvE,Caption,,,,,,,
P:1583059827344883713,,,@SupriyaShrinate Why no apology was sought from PM Manmohan Singh’s press secretary https://t.co/kQw0Ti3GvE,Caption,,,,,,,
P:1583049454852399108,,,When u tweet without taking your medications https://t.co/xYag6fIyAB,Caption,,,,,,,
P:1583048639865552896,,YOaePt6iupth9UKL.jpg,This is what a common man in Gujarat has to say https://t.co/YYOxkiKuYE,Caption,https://pbs.twimg.com/ext_tw_video_thumb/1583048516062310400/pu/img/YOaePt6iupth9UKL.jpg,,,,,,
P:1583033594817413122,,,"Diwali to Bulls
Diwala to Shorters",Caption,,,,,,,
P:1582989955412135936,,Fffou4iakAA-Z7W.jpg,AAP will eat into Congress vote share as later not campaigning in upcoming elections https://t.co/ezSiWekZ7h,Caption,https://pbs.twimg.com/media/Fffou4iakAA-Z7W.jpg,,,,,,
P:1582989054408544256,,,"My Prediction for Gujarat 2022 polls 

Vote share 

BJP      50%
Cong    35% 
AAP      10%

Seat Prediction 

BJP… https://t.co/wUobdPZ5f2",Caption,,,,,,,
P:1582987047916441601,,,Did enough to get voted back with two-third majority https://t.co/JBawQxpeQO,Caption,,,,,,,
P:1582986440493142016,,Fffk_KOaEAUQ6ZF.jpg,भाई कटप्पा ने तो पीछे से तलवार भोक दिया था ???? https://t.co/2waagFxY2w,Caption,https://pbs.twimg.com/media/Fffk_KOaEAUQ6ZF.jpg,,,,,,
P:1582984359015219200,,,"RT @BefittingFacts: Yesterday CM @MamataOfficial said that Tata left Bengal because of CPI(M).

Here is a video of Ratan Tata from 2008, wh…",Caption,,,,,,,
P:1582984004869197825,,FffjMEzaAAAuCWO.jpg,Congress New president https://t.co/kAlu5r7k8j,Caption,https://pbs.twimg.com/media/FffjMEzaAAAuCWO.jpg,,,,,,
P:1582982722674642944,,,@SanjayAzadSln Its a post event recording which is playing on the screen,Caption,,,,,,,
P:1582971594451734529,,,"RT @greg_price11: Wild story:

Last April, the FBI raided the home of ABC journalist James Gordon Meek, who was finishing up a book about B…",Caption,,,,,,,
P:1582965316249735169,,,@msisodia Ali baba aur chalis chor,Caption,,,,,,,
P:1582774072756224000,,FfckoI0UYAMz2Jj.jpg,अब दिवाली की साफ़ सफ़ाई से भी शिकायत है इनको 😂🔥 https://t.co/fWuq9o12DD,Caption,https://pbs.twimg.com/media/FfckoI0UYAMz2Jj.jpg,,,,,,
P:1582770062397956096,,a0OWAEo_E_jOVCPR.jpg,"Now these climate activists wants to ban farming 

 https://t.co/d68qqYr42z",Caption,https://pbs.twimg.com/ext_tw_video_thumb/1582003177343393800/pu/img/a0OWAEo_E_jOVCPR.jpg,,,,,,
P:1582765890688667648,,,"RT @APF_Ind: So, Ms @mattoosanna is crying hoarse on being denied permission to leave India to attend @PulitzerPrizes.

But she convenientl…",Caption,,,,,,,
P:1582705101667721216,,,"RT @MinhazMerchant: Rahul to Priyanka on phone: “That went well, just as we’d planned.”
Priyanka: “ Must call ST &amp; thank him for being such…",Caption,,,,,,,
P:1582704596480561152,,,@timesofindia How conveniently they hid the detail - Delhi Environmental Minister Gopal Rai,Caption,,,,,,,
P:1582693929384054784,,,@JiyaniKuldeep @SwatiJaiHind Only after they complete 15 years of imprisonment and fulfill certain criteria prescri… https://t.co/Q8XTtRtKLC,Caption,,,,,,,
P:1582692869470838784,,,"@raghav_chadha BJP was nowhere in the picture in Punjab, wonder how u defeated them",Caption,,,,,,,
P:1582692528377434113,,,@_setoodeh @ndtv Only after they completed 15 years of imprisonment and fullfill certain criteria prescribed in the… https://t.co/0hZTdrJbaM,Caption,,,,,,,
P:1582687965285056513,,,"@SwatiJaiHind The five men named in the FIR are Dinu, Shahrukh, Javed, Dhola, and Aurangzeb. 4 Arrested",Caption,,,,,,,
P:1582687174444875776,,,"@ndtv The five men named in the FIR are Dinu, Shahrukh, Javed, Dhola and Aurangzeb. 4 Arrested",Caption,,,,,,,
P:1582686399308115968,,,"@AITCofficial @narendramodi @BJP4India The five men named in the FIR are Dinu, Shahrukh, Javed, Dhola, and Aurangzeb. All arrested",Caption,,,,,,,
P:1582685664667381760,,,"Age   CWC Member

90    Manmohan Singh
83    A. K. Antony 
81    M Kharge
79    Ambika Soni
78    O Chandy
77     P… https://t.co/0fWvh4yP5N",Caption,,,,,,,
