PID,Text,Media,MediaURL,Emotion,HateSpeech
P:1577858107052638210,https://t.co/Kgmx1u37Uk,https://t.co/Kgmx1u37Uk,,,
P:1577858024705859585,@WhiteHouse45 @POTUS45 @realDonaldTrump @FLOTUS #StopHazarzaGenocide,NA,,,
P:1577857991256186880,@middleageriot Explains the shade of spray tan @realdonaldtrump uses,NA,,,
P:1577857927783800833,"RT @realJoelFischer: Hey you, yes you, see that guy running to show respect to our man and woman in blue, That's my President, and Yours.…",NA,,,
P:1577857810645192705,RT @GOPJake: Fauci just said on Fox News that he is pleased with how @realDonaldTrump delivered the truth about the Coronavirus to the publ…,NA,,,
P:1577857577509015552,A clothes pin would make a better president than @realDonaldTrump,NA,,,
P:1577857390711562240,"RT @SGTValadez: I was just checking.

@realDonaldTrump

Maybe soon….🤔",NA,,,
P:1577857377797345280,@ThePandemica @elonmusk @Twitter @realDonaldTrump The only thing that will happen is that people will be able to exercise their 1st Amendment right without having to worry about getting banned.,NA,,,
P:1577857273162080259,RT @VicToensing: Did everyone watch #TonyBobulinski Tuesday night telling @TuckerCarlson how the #BidenCrimeFamily made millions $$$ illega…,NA,,,
P:1577857254560337921,@USAMarineMomma @realDonaldTrump Agreed,NA,,,
P:1577857220976443393,RT @USAMarineMomma: I don't like Biden's America! I want @realDonaldTrump BACK in Office! https://t.co/PXSNHm7vNX,https://t.co/PXSNHm7vNX,,,
P:1577857158972063744,"RT @kadge45: @realdonaldtrump back yet? 

Hurry up already 👍🔥",NA,,,
P:1577857096321847296,"RT @simply_sonja_: TIME TO BRING BACK @realDonaldTrump 🇺🇸
ON TWITTER
@elonmusk https://t.co/d2ednGHtbJ",https://t.co/d2ednGHtbJ,,,
P:1577856185432264704,"No, Donald Trump (@realDonaldTrump) is not yet in prison.",NA,,,
P:1577855412933726208,@JhcJhc266 @FreedomWorks @GOPLeader @adam_brandon @realDonaldTrump Pure ignorance.  Fascism is the GOP's flavor of choice. Think about it.  Use some common sense and logic.  When did Republicans like these ANTI-REPUBLIC AND ANTI-DEMOCRATIC @Jim_Jordan @RepMTG  @mattgaetz @RepMattGaetz abandon REASON for MADNESS! https://t.co/cCtsKCdsAr,https://t.co/cCtsKCdsAr,,,
P:1577854903103676416,"@bbcstories @realDonaldTrump Five years later, it is SICKENING!",NA,,,
P:1577854524634660865,RT @babydre_xoxo: @realDonaldTrump Also there is an ice cream shop from Canada named Sweet Jesus and its here selling ice cream in the Unit…,NA,,,
P:1577854484931379202,Truth Social:  For the truth! @nprpolitics @Morning_Joe @TheView            https://t.co/J2oKDP9tVB,https://t.co/J2oKDP9tVB,,,
P:1577854393763991552,https://t.co/mIF9gLnYpp,https://t.co/mIF9gLnYpp,,,
P:1577854141606645761,"@PetrBystronAfD @realDonaldTrump OK dude, go for Abr-e-Arvan. These people are shutting down internet in Iran and their servers and headquarters are in Germany 

#MahsaAmini
#مهسا_امینی",NA,,,
P:1577854089706225665,RT @YoungDeplorable: @RealDonaldTrump @TrumpWarRoom @MELANIATRUMP @DonaldJTrumpJr @EricTrump,NA,,,
P:1577853581604052992,"https://t.co/6990flmfsp 

President Trump draws attention to border crisis securing our Streets..","https://t.co/6990flmfsp 

President Trump draws attention to border crisis securing our Streets..",,,
P:1577853526839017474,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853519574585344,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853491728601090,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853464788492289,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853449500336134,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853395448336386,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853381409906688,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853366876635136,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853352989409280,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
