POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1583890433163214848,,Ffq5WsaWIAMwVbA.jpg,"RT @Leticia35170144: Odda, Norway 🇳🇴🇳🇴 https://t.co/2uNMNcG2RA",Caption,https://t.co/2uNMNcG2RA,,,,,,
P:1583890094389280768,,FfoVXw2WIAA8Ni-.jpg,RT @Leticia35170144: Portugal 🇵🇹 https://t.co/kCu4cLB6zP,Caption,https://t.co/kCu4cLB6zP,,,,,,
P:1583890077163610117,,FfrHRyKXgAckrAR.jpg,RT @Leticia35170144: Autumn 🍂 Places to visit in Brazil 🇧🇷🇧🇷 #tourism  #travel https://t.co/p8LkInZJCT,Caption,https://t.co/p8LkInZJCT,,,,,,
P:1583890039288713216,,Ffrowm2WIAYGAIZ.jpg,"RT @Leticia35170144: Dark Forest 🍂🌳Sächsische Schweiz,Germany 🇩🇪🇩🇪 https://t.co/DAhqN950FL",Caption,https://t.co/DAhqN950FL,,,,,,
P:1583889731200241667,,Ffq5WsaWIAMwVbA (1).jpg,"RT @Leticia35170144: Odda, Norway 🇳🇴🇳🇴 https://t.co/2uNMNcG2RA",Caption,https://t.co/2uNMNcG2RA,,,,,,
P:1583889582017613824,,Ffq5WsaWIAMwVbA (2).jpg,"RT @Leticia35170144: Odda, Norway 🇳🇴🇳🇴 https://t.co/2uNMNcG2RA",Caption,https://t.co/2uNMNcG2RA,,,,,,
P:1583889226676203526,,FfrIU78WIAICQee.jpg,RT @Leticia35170144: #BoraBora 🦋🌴❄️ https://t.co/uRzmnaqQvX,Caption,https://t.co/uRzmnaqQvX,,,,,,
P:1583889089496899584,,Ffrowm2WIAYGAIZ (1).jpg,"RT @Leticia35170144: Dark Forest 🍂🌳Sächsische Schweiz,Germany 🇩🇪🇩🇪 https://t.co/DAhqN950FL",Caption,https://t.co/DAhqN950FL,,,,,,
P:1583888925600657408,,FfrHRyKXgAckrAR (1).jpg,RT @Leticia35170144: Autumn 🍂 Places to visit in Brazil 🇧🇷🇧🇷 #tourism  #travel https://t.co/p8LkInZJCT,Caption,https://t.co/p8LkInZJCT,,,,,,
P:1583888901454036994,,,"RT @Leticia35170144: Hello dear friends, l’m surprised by so many displays of affection and l am infinitely grateful, but l think you do to…",Caption,NA,,,,,,
